# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; IP-PCCR
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=2)
# prediction_type; rolling
IP-PCCR;HStartsTAS;HStartsTotal
11.26835079;19.07962263;2.088518489
-6.106988852000001;13.73525503;1.0327815340000002
0.5124920620000001;-86.08205949;-59.30819233
-9.326847422;-55.54447413;-57.46759811
-8.477138461000001;30.84379006;31.55830611
10.04679384;-2.232563935;14.47703963
19.86404307;30.17588304;12.14710511
-7.01772386;-5.8089896670000005;-5.320413015
16.83416743;-10.91408162;19.70296345
10.99889978;49.69721983;36.19526803
8.401709108;44.1994588;44.44414087
10.03473377;0.0;4.703090999
-27.50063514;59.28928901;75.10166417
6.223943642999999;-4.121198607;-32.66100428
7.529634098;-24.60211647;-14.23452082
17.33452539;-12.34721158;-37.62268499
17.470025399999997;-25.70638199;-55.90363711
-26.04339364;-86.89040677;-58.64221748
-20.58934008;5.025492368;9.691773714
19.2186934;46.63730698;52.146241499999995
-11.13761047;-18.62816299;-38.71066438
14.78228261;16.29331952;4.653897774
16.87264561;5.49691528;3.636260552
-49.94933195;24.43507679;3.798115585
45.13790161;31.33273731;47.11136125
-3.0922296460000003;33.61557084;46.44667058
-14.90855792;23.79520216;-7.5816287760000005
-28.12355104;27.51275151;24.31921055
5.395544714;17.48517489;38.49941927
15.76323373;-3.6932080689999998;15.50709959
-1.4076260859999998;-39.09563977;-2.3922830000000004
16.12192881;38.23849658;23.03639513
-10.52090381;21.03182407;22.83788502
5.52367811;-2.3133250530000002;10.10562873
18.75343436;30.97644246;26.90914797
-3.504951232;8.744882829;30.83621747
6.546790986;1.356979065;3.351648874
7.717281174;-43.6797169;-52.44706316
-10.32315358;-1.9277145880000002;-28.87210469
-2.6229602180000002;-35.18116318;-52.57236295
21.76536869;18.98461865;0.208806617
-18.70691578;26.95463977;29.30782995
18.70691578;-14.08451774;7.181546981
28.06762293;-18.80688261;8.687988549
-5.065825137;-27.78475118;-18.359802
-20.930327600000002;96.63232936;36.97314451
27.15613422;-61.47609586;-16.77715745
-16.15187426;-55.69001184;11.47194748
0.40180817;10.23821888;5.107405585
8.346055386;-17.37978286;-5.464937835
2.74376382;-3.53463272;-5.947589154
-4.32012054;8.365005773;-1.6285546480000002
12.82285615;9.003858806;15.86697322
-6.943279444;-44.83320106;-32.09840412
1.9408092419999998;25.430433800000003;4.512247776000001
11.07469307;55.00242636;27.02585186
-4.16473237;-26.00303727;30.55883528
14.94104598;0.0;5.110145118999999
11.91961785;-5.409788138;30.51628726
-3.9338716710000003;-19.8686439;-16.5932278
-42.42382878;55.99260218;-40.31292663
47.42389389;66.46120257;9.963458626
-21.50859781;5.783826106;17.38799428
2.613168417;-40.87019024;11.52217444
31.12879874;3.100268272;42.36508029
-19.03442804;-13.10250203;11.55661138
-8.022146725;43.97145209;-0.34564708
14.82320542;21.53528783;7.0067573020000005
15.31953982;-24.02906161;-4.7072228030000005
4.078200152;0.125058497;-8.774316222000001
-2.033902687;21.65979242;-4.532272995
32.61789951;-16.56576476;23.00940781
-58.22945168;34.85598770000001;11.21865579
1.4466561880000002;49.23237491;20.415218
21.09451843;-35.87925736;-6.073774779
-0.342612441;-59.22356825;-50.810365000000004
-9.714267536;7.791637877;-10.73997277
18.8633322;-8.299574707;3.422121352
-11.90058025;-12.12604938;8.032095144
-14.76441771;32.31922083;28.81384916
2.854606228;20.83129899;2.846069487
7.7467209960000005;-16.38614148;9.298259176
-19.28945158;-2.998065182;13.83689527
-1.8340243040000002;36.66599665;-1.953874647
9.446397229;-2.423582077;16.74376204
-39.20272426;19.62128708;9.621278128
36.68132915;-25.07263019;-11.37339441
4.670012632;-10.32534982;-3.241584498
6.025811785;44.34503712;16.92626193
-12.50660162;3.686662042;-11.47205524
6.8377733439999995;17.74524708;0.578735981
7.423986857999999;3.5918214410000004;-15.20050921
-7.067321653;-81.97926915;-71.07640469
-11.94118526;-45.42638468;-29.21613059
-35.30574119;31.54657927;15.22948762
-29.98281298;62.72906501;58.40193489
36.35110669;-34.40389265;24.00504676
-0.7905140909999999;-27.34387803;-16.23875152
15.14008965;-24.11204679;-36.59971786
13.11592913;-92.06490790000001;-58.87845013
-20.03252797;-12.98491046;-21.851922000000002
-11.80026576;-10.28334268;2.7486458660000004
27.75679737;-8.776130904;14.98403325
-17.89922606;28.25912641;-17.93501319
19.01498689;-5.494363181000001;15.04651339
13.15186965;-1.848354442;6.612329379
-15.01320386;-15.10260901;17.97660907
10.67711804;-25.08149534;-0.58813261
-34.90364655;2.413560333;-4.232595788
6.293148488;23.19229602;1.768783349
-9.477244902999999;-1.575149706;2.119849292
-6.039369885;-17.38235415;12.70604066
0.810537258;22.08931629;25.37958863
-12.75172252;23.8826704;9.733005999
-14.03652792;44.01736453;5.223758171
5.588484239;-19.63308463;-2.5647929940000003
-1.711232556;13.59134146;-3.080967644
-3.4445853339999997;-0.297066497;0.7918591209999999
15.68828526;-17.30820291;7.2221284489999995
