# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;BusInv
# prediction_type;rolling
# method; Part-GFS_te(n_components=4)
"BusInv";"IP.FBT";"UrateLabForce";"IP.WPP";"IP.PCCR"
7.451965444;-12.58348313;-64.33334;-2.161332931;36.68132915
31.02388144;-3.728665011;40;-15.46543713;4.670012632
15.14977146;-13.11592913;3.33333;4.480046832;6.025811785
10.5084701;20.13003356;-0.66666;14.99004447;-12.50660162
0.563464546;-4.938334329;8.66666;-39.59804872;6.837773344
17.28112484;-3.326422497;-15.66666;11.34354582;7.423986858
12.44432197;0;19.33333;-6.968239264;-7.067321653
6.870929926;-9.720499473;-33;13.49366946;-11.94118526
2.282393383;-9.086383134;-9;-41.56928701;-35.30574119
-6.343580298;3.485860841;58.33333;-19.49811275;-29.98281298
-3.435938309;14.4850758;-65.33333;12.61700145;36.35110669
-26.57343759;2.502615046;-22.33333;-3.66975051;-0.790514091
13.10963923;-5.863979364;26.66666;28.79964037;15.14008965
-18.70138975;16.93593175;7;30.05953667;13.11592913
11.35717632;-18.20376165;-20.99999;-48.66754293;-20.03252797
10.46603698;2.952042919;49.66666;7.476853205;-11.80026576
10.02453968;-3.799500863;14.66666;-15.09613119;27.75679737
19.13632431;-0.849257219;-56.99999;-3.679878759;-17.89922606
11.48839759;25.52305935;-44.33334;-16.22098732;19.01498689
45.78322037;-4.008049567;75.33334;-6.598888134;13.15186965
-7.140033579;4.804862579;-44.33334;13.0906774;-15.01320386
34.58805645;-12.53260674;26.33334;-41.89176069;10.67711804
10.47984037;-11.24488418;-12.66667;11.60703199;-34.90364655
2.349361796;18.97262834;4;-12.02786317;6.293148488
-24.69969387;8.371008042;1.66667;7.094604343;-9.477244903
5.805235398;4.315882969;33.66666;25.24623431;-6.039369885
28.14471317;-22.88632172;-43.66666;8.833772364;0.810537258
-24.64734871;3.292199655;-28.66667;-27.10904603;-12.75172252
-15.83400615;14.48850537;0.33333;-2.446490807;-14.03652792
3.085020602;-11.62989188;51.66667;21.10992559;5.588484239
5.233873127;21.77677743;-12.33333;17.46007726;-1.711232556
-15.70260375;-16.12011751;12.33333;-15.13898757;-3.444585334
-4.268072931;-0.401404951;-27.33334;3.456574558;15.68828526
