# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Currency
# prediction_type;rolling
# method; FCBF(n_components=3)
"Currency";"RGDP";"Cons.Food";"Cons.CigTob"
-0.607818606;5.333531171;0.162271807;-9.405209928
0.237882906;4.657879989;4.637382452;-12.92897892
6.993908879;3.97991576;5.435488432;-0.517665402
-10.88520539;4.117594698;7.483811207;-1.03734498
9.530383746;2.328691535;0.988636041;-2.918960047
-2.796770596;2.215612944;-1.707414312;-0.733080451
-2.401109828;2.222377647;6.174153065;-13.53893399
2.701999707;0.952585653;6.965609818;-1.085776997
-1.112531772;3.113451114;2.681616194;4.970350284
3.519056887;1.34967792;5.051603958;3.208573354
-4.231308102;3.447181698;-1.534729723;1.912862306
2.252934514;3.574058921;2.401189331;-31.30211151
-1.972031435;2.482873349;0.184111206;4.446390376
0.368969919;1.519985819;-0.8476141;-12.90434489
1.678434341;2.185723381;2.66575731;-15.6414496
