# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-TraSer
# prediction_type;rolling
# method; Part-GFS_te(n_components=11)
"Cons-TraSer";"IP.PCCR";"HCE.AVCE";"EXrateKRW";"Cons.Alc";"Cons.CloFoo";"UrateLabForce";"ExrateNZD";"HStartsVIC";"Cap.BioRes";"HStartsTAS";"IP.ME"
-5.014113635;5.52367811;-4.884339639;-8.1142361;2.721811078;-4.328620697;43.000001;-19.51081391;20.87887836;17.64992196;-2.313325053;2.067188063
-9.507489835;18.75343436;4.404032185;-1.112471126;3.945009916;6.280796363;53.666666;-0.80588422;40.90929125;-9.316287202;30.97644246;27.23042842
21.16712374;-3.504951232;-7.972040413;26.05987841;8.584897738;2.974953083;-73.333334;12.90662495;17.28053265;1.176471436;8.744882829;14.501194
-6.473735852;6.546790986;11.54004864;8.077317022;14.49649836;-0.128886742;-3.333332;-4.054288368;-5.815678203;8.139815766;1.356979065;9.181734428
7.317796093;7.717281174;-7.540256264;4.929039947;18.85614522;-1.161853326;58.333332;-1.36422826;-46.32255269;43.58047352;-43.6797169;-1.21212214
11.46972411;-10.32315358;4.398833313;7.995699294;-1.117839572;4.755076077;-59.333332;-5.944003174;-41.0045643;-13.64961833;-1.927714588;4.226454415
4.562167581;-2.622960218;-6.602064719;-15.86063293;1.489759636;1.020734206;43.333332;-17.89730743;-53.08880148;-16.35105032;-35.18116318;8.321251052
-10.00667317;21.76536869;-5.421553264;-25.54240457;4.803752884;9.444795782;11.000001;-30.48798275;-29.68845359;-22.30742382;18.98461865;-10.12712319
39.51097314;-18.70691578;-2.097155292;20.74487737;-1.103448976;1.118534207;-19.666667;21.87724235;48.55313748;-33.73645937;26.95463977;3.603627977
2.550168023;18.70691578;3.918707851;2.297432735;-7.060099677;5.546229666;-1.333333;3.046562227;21.3431826;-62.19396114;-14.08451774;24.35534787
-0.299177276;28.06762293;2.792323592;13.98054287;-5.853302464;7.277338384;-28.333334;-4.047608194;33.30033865;-26.26425832;-18.80688261;-10.25697225
19.56594409;-5.065825137;-3.939559045;19.09192803;-0.380589943;-2.290197608;5.666667;9.623298212;-28.11909517;12.57470937;-27.78475118;4.020134341
-8.934088967;-20.9303276;4.746979083;10.24292378;1.70981025;3.250582223;-10.333333;-8.987049588;37.17880021;67.4757632;96.63232936;9.598202222
2.614388392;27.15613422;-0.039872572;14.40730015;9.553252015;-3.371482934;-1.666667;-1.072781651;-33.57806623;-31.96262055;-61.47609586;-19.43239241
-4.65968138;-16.15187426;-6.144281042;6.165137367;9.872530389;0.845538591;16.666666;-2.997777438;-0.699678222;-8.58709185;-55.69001184;20.54659926
9.551828691;0.40180817;4.980536706;1.130246895;3.41651886;-1.329507192;-43.999999;-3.800106255;33.33297533;9.294430672;10.23821888;1.665512469
-8.673993665;8.346055386;-1.678014694;-10.55903723;2.498892554;5.172226628;24;10.54594666;-0.164535703;33.21127584;-17.37978286;0.553633306
5.515326856;2.74376382;1.51884596;101.8936624;9.321151609;1.788645103;24.999999;-7.889242802;3.685781317;-39.62281115;-3.53463272;9.836561255
-1.154818557;-4.32012054;2.111864198;73.3306779;1.907655903;-1.669152944;-16.333332;18.89307964;-1.770396449;-7.246575002;8.365005773;5.894279462
-1.73850328;12.82285615;4.282843544;-68.05581479;8.558306786;11.77248007;17.999999;1.770919002;3.397682824;19.27223756;9.003858806;2.650771795
