# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Emp-HoursFt
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=3)
# prediction_type; rolling
Emp-HoursFt;HCE-ITA;Cons-Food;ExrateNZD
3.7515024460000004;19.73095503;4.654129298;-48.33868156
5.523923852999999;-15.91427047;8.522199281;-31.65525742
5.23278534;3.276361783;0.800592009;-19.26290451
7.1973563920000005;-16.96631723;-2.966725349;24.55488849
1.796810043;7.944385192;6.739195447999999;-25.91233197
0.102563462;8.258974183;-5.2356314589999995;-8.177785973999999
0.290174225;-14.06239083;-2.766722933;11.69970823
-0.962957108;2.738551765;1.333217619;-13.52540146
6.270166839;-1.38505546;9.210135962;-1.145304356
2.709813581;3.3538142669999997;2.728988924;-17.02622018
4.893920585;3.2203656130000002;-0.23804464;-20.78556756
5.84410369;24.105902;-2.901903224;-4.71005714
-0.250612946;-29.71284352;-8.274127723;20.22929596
2.575042878;-5.415818282999999;1.6755413280000002;38.29832406
8.778442967;4.812044584;3.50286194;20.43754908
5.967745887;-9.057725081000001;3.985602464;6.6261063710000005
0.33916022100000004;26.28389562;-1.129799185;-19.96946362
3.6696099060000003;-9.316434875;1.129799185;2.5385816269999997
2.135282689;-9.750386834;2.4539954269999997;8.975709835
-2.311182386;17.65724152;7.272927632999999;-11.22570614
2.110640569;-14.46167157;-3.3170186310000003;10.11218391
-1.146378504;2.0785786969999998;2.682548406;1.363888299
-8.369165158;3.53590942;1.634220808;-14.40247306
-4.432481657;-9.890561263;-1.166618885;8.685281161
-3.517798735;-7.292532855;0.966868568;2.813349754
-0.045564939000000006;14.58307122;4.766689973;16.36066342
0.135635545;-13.02553345;-2.409347604;7.318710156
-1.0395902;-9.270214359;8.613047171;-3.666596857
-2.234845619;-2.3347844209999997;4.70252618;3.4954738589999996
-1.176365659;13.84075533;-0.7692310059999999;-18.16902822
-1.655842796;1.702225445;-0.288843435;-3.277232601
4.572886232;-0.01344278;-6.016610281;-2.223373825
0.156530817;6.386536532;10.80364683;-16.1190955
0.8331023679999999;-3.484164059;-3.600900638;-19.51081391
6.625460617999999;5.145773734;1.1187924340000002;-0.80588422
1.219855339;-4.587805726;4.380996175;12.90662495
4.824042813999999;9.48781441;1.4497337019999998;-4.054288368
5.539225403;-11.17467193;9.205101858999999;-1.36422826
1.209678271;-3.892385182;5.162150221;-5.944003174
2.474418502;6.67290819;-2.801899686;-17.89730743
5.362029796;7.106254052000001;9.930711899;-30.48798275
0.672378404;-9.334672072;-0.507141061;21.87724235
1.1370550879999999;3.781257058;5.013228883;3.046562227
1.452508474;9.958534947999999;-1.003542439;-4.0476081939999995
-1.8615004030000002;-29.63592347;-0.7987282170000001;9.623298212
-0.070676673;13.18425667;-3.599206288;-8.987049588
-1.1246397479999999;-0.018511233999999998;-1.556771668;-1.072781651
2.3862350230000002;-4.4570913889999995;2.690593104;-2.997777438
0.616695772;6.629207962000001;-0.775425235;-3.800106255
-1.3464183140000001;8.851586571;8.067947403;10.54594666
2.82576626;-7.2004202610000005;4.682838432;-7.889242802
1.1930063370000001;-0.547566164;2.421629018;18.89307964
-0.054869255;1.086214739;1.291295644;1.7709190019999999
-0.7071069870000001;-9.303013442000001;-5.538816323;-1.7026615569999999
2.4000135769999997;7.117834706;-0.261523383;2.822460951
0.9377046170000001;10.94382787;5.16956042;-0.678291998
2.04305538;3.404275867;0.573476801;11.58628658
6.538350678;-9.128182902;4.700071878999999;9.621747907
5.893037075;1.979232739;8.656103047;3.429645595
0.16760202400000002;-37.73423495;-3.3673277789999996;1.4336361969999998
2.636632652;35.990069399999996;-0.811274188;-4.252128121
2.3656421009999997;3.6665765980000002;9.928950336;22.53765216
-7.472597416;-4.876408745;6.072634422999999;-10.30918806
-3.343513321;10.74303333;-1.806724344;-18.19751575
-1.574351246;-14.43455591;9.349340474;4.810283645
-1.710923535;7.026529487;-1.534291941;-8.228688035
0.454248256;2.316243112;0.29143899300000004;6.365489394
3.95281874;30.4127848;10.89444607;-4.701784601
-0.606676358;-31.91216884;5.782740003;-13.71093001
2.0534136469999997;-1.847558948;-0.610143756;-4.661527487
2.358115969;-3.8760578210000003;0.9656316229999999;-17.13872035
5.843783458;4.172964181;-3.2875850069999997;-12.73413587
-1.3752451909999999;-7.126069602;1.353985007;17.02025147
1.280373266;-16.64414007;5.672417166000001;-0.307164998
2.6902118230000003;20.51601246;3.5297659969999997;4.723076667
2.923875116;-15.77986857;8.165814434;-1.568170645
0.870888507;10.95161766;8.45697463;-2.835931449
-0.516749941;4.471286447;2.1460558180000002;-16.834944
5.276863939;-3.1272567860000002;0.285272804;2.357860199
3.782699897;4.439060091;-3.149246853;0.048974839000000006
2.9982205680000003;-6.2069969679999994;6.462483167;-4.729119123
1.190573114;3.543260487;5.547030177000001;8.276030456
0.348804296;-10.27856022;-1.397055964;-13.37529405
-2.2039088380000003;27.08358905;1.443540566;24.3509536
6.778295645;-17.27073873;3.12528719;23.73281239
4.0392962;-3.027268025;-0.854133927;-4.970816019
1.9767189459999999;7.763859097;4.412569884;-13.54236339
-1.166164963;-6.886008134;8.860621102;-6.615216906000001
6.599415555;11.87371655;1.42817446;-3.247553191
0.114208848;-2.724552723;1.245483353;11.82734767
5.737285813;-4.19205608;9.696646816;4.416876234
2.306877626;6.749809236;-4.599631053;-3.8606446130000003
3.201216946;-3.751340341;1.8592984559999999;26.13228818
4.890503494;2.561088115;3.8009679760000004;2.088156323
