# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Urate
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"Urate";"InvLevel";"FedFunds";"Unum.LPT";"X90daysBkbills"
0.166666667;5.436601698;0.15;22.62861006;0.296666667
0.099999999;5.309133305;0.25;17.6996994;0.396666667
-0.333333332;11.39851356;0.326666667;-20.81671404;0.473333333
0.433333332;12.60616594;0.273333333;6.825650476;0.21
-0.199999999;20.18101402;-0.076666667;-14.86294519;-0.356666667
0.3;7.505808134;-1.886666666;12.04044166;-2.383333333
0.566666666;-9.895733766;-1.67;51.73833456;-1.706666667
-0.4;-10.47314446;-0.596666667;-9.602979739;-0.193333333
-0.466666666;-3.895427746;-0.02;-4.083710777;0.11
-0.133333334;-9.076073123;0.476666667;2.40722893;0.683333333
-0.033333333;5.499352016;0.35;6.900141361;0.276666667
0.166666667;3.171882502;0.573333333;0.550044208;0.52
-0.133333334;3.940947992;0.1;19.76277851;0.05
0.100000001;-1.741767517;0.16;-3.679049793;0.153333333
-0.033333334;12.33994769;0.09;-3.484870679;-0.02
0.066666666;13.68259975;0;-17.8948547;0.03
0.266666668;-1.15638982;0;24.68490835;-0.086666666
-0.233333334;4.813475452;-0.23;-14.47225628;-0.256666667
0;3.58825956;-0.27;7.453870402;-0.213333333
-0.033333334;3.128862055;-0.396666667;21.56277182;-0.623333334
0.166666668;-1.348098181;-0.353333333;-42.02399582;-0.23
-0.100000001;2.224378424;-0.316666667;22.51153699;-0.383333333
0.133333334;0.149483435;-0.183333333;20.95260448;-0.17
-1e-09;1.572979361;-0.15;-13.96978989;-0.12
-0.099999999;8.820629321;-0.25;14.97481561;-0.233333333
0.033333333;-1.307437707;-0.1;-1.940530263;-0.053333334
0.033333333;-0.228510701;0;15.82127121;0.043333334
-0.133333333;-3.432695537;0;6.389143995;0.053333333
0.233333334;2.346815953;0;41.27770364;-0.043333333
-0.200000001;-3.880470565;0;14.30988007;0.093333333
