# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; BusInv
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=3)
# prediction_type; rolling
BusInv;UrateLabForce;IP-PCCR;IP-WPP
20.59540653;-15.666667000000002;11.26835079;17.02384577
16.44004798;41.666667;-6.106988852000001;24.902910100000003
-4.294382558;-11.333333;0.5124920620000001;0.9775972279999999
1.167621801;22.666666;-9.326847422;5.173879733
18.18993216;0.333334;-8.477138461000001;-11.73678331
0.042847196;-47.000001;10.04679384;-14.14288733
44.97478435;2.666668;19.86404307;5.1086262719999995
-16.73262623;-13.666668;-7.01772386;-0.338552707
40.66027134;12.333333999999999;16.83416743;7.715123869
8.492736507;4.6666669999999995;10.99889978;2.3188470740000002
24.61314447;-19.333334;8.401709108;6.8769602160000005
18.61706084;61.666667000000004;10.03473377;14.66299634
36.67520281;-27.0;-27.50063514;8.975231475
-26.50609164;-55.666666000000006;6.223943642999999;15.01677848
34.35116452;63.999999;7.529634098;25.40989715
17.20337262;21.0;17.33452539;-49.71501867
16.33748864;-27.666665999999996;17.470025399999997;26.36319295
-1.488884078;5.666666;-26.04339364;-34.59133117
-6.782731052000001;-22.999999;-20.58934008;-25.41060403
-7.46881797;8.666666000000001;19.2186934;-10.00483376
-20.96002474;7.666666;-11.13761047;-9.903246767999999
-4.5120283;-12.999999;14.78228261;19.56721983
-15.64898083;-43.333334;16.87264561;-34.89756324
-31.63406717;-19.999999;-49.94933195;6.642219046
-9.846144384;34.999999;45.13790161;17.19154467
-16.1232608;-49.0;-3.0922296460000003;-12.46206711
-10.80053302;33.333334;-14.90855792;4.316588653
8.503076529;40.666666;-28.12355104;0.0
-6.050062576;-38.999999;5.395544714;-17.92709708
-9.613088199;36.333332;15.76323373;9.977422593
76.67456617;-64.666666;-1.4076260859999998;38.91956439
-21.9300488;10.666667;16.12192881;-1.99170536
5.408887448;4.666666;-10.52090381;-10.11005798
-5.915778059;43.000001;5.52367811;6.432639687000001
13.34288297;53.666666000000006;18.75343436;-0.3359933
29.400019099999998;-73.333334;-3.504951232;1.342283139
5.038990913;-3.333332;6.546790986;0.334868165
14.44858574;58.33333199999999;7.717281174;16.71689399
22.14066419;-59.33333199999999;-10.32315358;-9.419842544
5.557769462;43.333332;-2.6229602180000002;-2.307381759
25.23900754;11.000001;21.76536869;9.150725862
-3.749393105;-19.666667;-18.70691578;6.410393606
0.023993042000000003;-1.333333;18.70691578;10.9767766
30.34520477;-28.333334000000004;28.06762293;-4.354630877
7.709065216;5.6666669999999995;-5.065825137;-1.880881209
-4.298758338;-10.333333;-20.930327600000002;-25.96207058
-0.022051324;-1.666667;27.15613422;16.42266777
6.75665886;16.666666;-16.15187426;1.285141668
44.79369486;-43.999999;0.40180817;0.6410257779999999
-15.17218915;24.0;8.346055386;-9.724952258
5.43953988;24.999999;2.74376382;-1.314709483
66.07378286;-16.333332000000002;-4.32012054;-20.60396348
-46.97221617;17.999999;12.82285615;31.32324074
0.283949753;15.666667000000002;-6.943279444;-6.462176089
8.666896531;-55.333332999999996;1.9408092419999998;-18.32890402
-8.818311315;4.666666;11.07469307;18.65450437
17.95351076;12.0;-4.16473237;-27.96928492
3.388323405;45.000001;14.94104598;8.632186529
44.95377047;-6.666668;11.91961785;29.61878895
-49.08486453;-16.666666;-3.9338716710000003;30.52586667
22.61345244;31.666666999999997;-42.42382878;6.70325341
13.46293074;10.0;47.42389389;-40.41385028
-47.44266517;-113.000001;-21.50859781;-1.281025915
20.72154713;77.666668;2.613168417;19.40912809
-0.372167236;69.333332;31.12879874;-15.57829275
11.84417725;-83.999999;-19.03442804;1.585416265
0.876910532;9.333333;-8.022146725;33.37795923
13.55947564;-11.333333;14.82320542;-20.30286518
15.70935777;-21.000001;15.31953982;8.485166656
17.72031641;56.000001;4.078200152;5.361212051
24.95353067;6.666666;-2.033902687;-22.51544867
1.918056994;24.666667;32.61789951;24.58111169
4.62826814;-106.0;-58.22945168;4.68183838
14.17181744;22.666667;1.4466561880000002;-23.35993031
9.345023943;31.333333000000003;21.09451843;0.924143653
1.739739458;-27.66667;-0.342612441;29.35737249
5.331218366;34.33334;-9.714267536;-8.086918041
7.987708185;-6.0;18.8633322;4.352600075
30.99134402;43.66666;-11.90058025;-14.09837562
-0.34414729299999997;19.66667;-14.76441771;3.8676389089999996
20.27742629;-12.33333;2.854606228;-2.673608171
20.41573619;-36.000009999999996;7.7467209960000005;-4.797658714
21.09598745;-24.33332;-19.28945158;-0.6037737
1.300021457;16.66666;-1.8340243040000002;-7.933135693
0.5775589010000001;22.66666;9.446397229;-6.8377733439999995
3.819197917;27.66668;-39.20272426;7.1458211060000005
7.451965444;-64.33334;36.68132915;-2.161332931
31.02388144;40.0;4.670012632;-15.46543713
15.14977146;3.33333;6.025811785;4.480046832
10.5084701;-0.66666;-12.50660162;14.99004447
0.5634645460000001;8.66666;6.8377733439999995;-39.59804872
17.28112484;-15.66666;7.423986857999999;11.34354582
12.44432197;19.33333;-7.067321653;-6.968239264
6.8709299260000005;-33.0;-11.94118526;13.49366946
2.282393383;-9.0;-35.30574119;-41.56928701
-6.343580297999999;58.333330000000004;-29.98281298;-19.49811275
-3.435938309;-65.33333;36.35110669;12.61700145
-26.57343759;-22.33333;-0.7905140909999999;-3.66975051
13.10963923;26.666659999999997;15.14008965;28.79964037
-18.70138975;7.0;13.11592913;30.05953667
11.35717632;-20.99999;-20.03252797;-48.66754293
10.46603698;49.66666;-11.80026576;7.476853205
