# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;RetSales
# prediction_type;rolling
# method; Part-GFS_te(n_components=6)
"RetSales";"Exrateavg";"ExrateNZD";"ExrateMYR";"Cons.TraSer";"PIMP";"ExrateJPY"
5.22209998;-6.400136539;3.429645595;-1.546592982;4.995135567;-8.883162049;-30.29558689
-2.386998103;-9.184693579;1.433636197;-16.44933938;15.50234043;-0.607464759;0.300578628
15.49716928;-15.96221764;-4.252128121;-20.99349491;5.615440843;-19.72083574;-25.7072554
-6.220567876;-6.153967536;22.53765216;-14.48735522;6.026247724;-1.889335231;-8.244154763
9.71754476;-15.27506206;-10.30918806;-26.44861899;13.67859737;-20.77154427;-12.46882965
12.65167385;-3.234518972;-18.19751575;-7.841292942;27.57355604;3.685233734;17.49598139
8.025999997;1.081081712;4.810283645;-8.893650437;18.81814548;-3.103828841;2.083282091
4.752275081;-5.434866246;-8.228688035;1.129457957;-12.37432012;-0.67637368;-3.528611942
8.930100905;8.392862946;6.365489394;1.379939065;-5.673853997;1.945702359;16.98782559
9.114134709;11.09714499;-4.701784601;5.148006094;-3.088818438;12.06667421;27.91737391
7.727651353;11.30454164;-13.71093001;28.7897756;19.45277954;14.60442398;-0.463857802
5.35755699;-12.34824744;-4.661527487;-6.608467841;18.85246549;-12.58578631;-20.024995
5.843828576;6.735910497;-17.13872035;8.636936694;3.007532966;8.532922147;13.67039518
3.636123621;17.59077413;-12.73413587;26.92380792;-6.139257512;16.3078398;18.58121225
7.981772078;25.01559276;17.02025147;31.07669726;-29.23771493;24.59729538;32.87895047
10.45903032;3.449288405;-0.307164998;6.210094289;30.35178072;12.49315662;-4.936832055
11.45186793;26.35882853;4.723076667;39.02809071;9.49451196;22.53225484;12.45015594
6.043434326;14.52408962;-1.568170645;21.28239161;22.09445139;19.77569405;14.28901776
4.197735071;-23.84953229;-2.835931449;-30.58917872;-1.498129092;-20.25095589;-20.06122229
5.41706176;-2.200225614;-16.834944;-2.030977902;7.987263295;-3.434726881;2.87943655
0.077721046;17.2719762;2.357860199;34.10406549;-1.566280937;15.50458578;8.66642849
2.058419692;5.039436735;0.048974839;5.894704999;6.228658028;7.939865132;10.39233711
1.406368776;0.208604938;-4.729119123;-6.25601507;5.6853749;2.446299702;4.259753189
5.035899958;1.041396079;8.276030456;-9.496420926;-0.537996046;3.403865715;9.755998914
2.36834211;-4.181951338;-13.37529405;-6.880995714;8.610118299;-3.352007911;10.12201333
7.393433363;-7.425299361;24.3509536;-9.390408281;-5.838228365;-4.074692506;-4.067674975
9.24717565;2.9866805;23.73281239;1.791847232;19.05329184;-2.180407083;-2.314165161
4.91904679;4.228369205;-4.970816019;6.108534611;6.4055309;5.577662408;12.88975726
6.358932224;6.673773184;-13.54236339;3.847419651;15.09613119;3.717695541;15.54555724
10.06795054;1.857109346;-6.615216906;-8.951556464;19.33198835;6.043122675;9.192839813
4.264375987;17.32395614;-3.247553191;14.84100263;27.78122591;18.14811729;29.53481483
10.27094559;4.118692923;11.82734767;13.33112324;11.98538729;5.371601459;-6.398224968
6.505515881;9.25788673;4.416876234;5.102585111;21.03790262;10.84120158;4.537111874
1.086091464;-1.528177561;-3.860644613;-6.922354442;1.184406195;-1.030194019;-22.9801191
0.62858446;14.84086633;26.13228818;16.58388308;-8.969730555;10.53723169;19.36523636
2.877399668;-25.90147886;2.088156323;-18.64904939;19.28242174;-13.89396774;-27.86233418
8.439879848;-83.73739642;-19.84371486;-81.19515046;-22.45302608;-87.4570186;-153.4718111
9.720221025;1.211021161;24.1370986;3.050008571;-10.29039772;5.665050806;-5.095071641
7.571974528;50.59126445;3.888476837;52.05113662;-16.52863924;46.10597114;71.61440936
-4.148195402;25.78876927;-7.674992396;33.0877358;11.21201673;27.72369712;18.74786684
6.613947523;19.68728635;5.225193527;16.56983207;-0.845964362;27.21794549;16.46117565
0;0.190159243;8.348000821;-10.05767272;1.057176195;5.892389907;-0.750040967
4.985336008;-5.93738455;-8.731142612;-25.69784788;14.51437742;-3.613638194;-7.296136424
4.115120836;7.644762053;7.875951276;6.422450495;20.05548668;2.911902534;-12.40684305
-1.308045705;18.85746595;7.68289989;25.36635257;13.39488804;22.28835267;15.25548045
3.424538835;7.690824928;9.253063427;2.355392977;5.518184081;5.230932749;12.42966725
2.505734297;15.12237447;-4.286078689;18.73494644;11.77090851;13.1988226;19.30041437
3.764582641;-12.47394281;-16.74247503;-6.390701651;0.955509562;-8.059692627;-32.9366193
2.9812853;0;14.03252696;3.284925855;8.498401692;-5.178087786;-2.723923677
1.305264856;11.62015378;-8.616208691;1.578646838;14.11303709;16.5049144;21.5417953
7.551000129;-11.9722665;-0.770773147;-7.46304322;-1.46830604;-13.98782599;-19.41421911
2.543227038;9.915706698;0.416818565;10.10500362;-9.561752075;13.67777927;4.844349868
-0.228291077;-3.451272507;-5.083459722;-8.990076071;-3.842824316;-5.557241163;22.09468097
4.760865294;5.849566646;-6.937266474;4.989444078;-0.175554095;4.391727357;42.84409729
1.758672695;-18.16906213;-14.90298767;-24.87351294;-0.761626008;-13.35645553;4.279448765
4.233994097;-25.83923999;-21.18276521;-6.387032505;-4.659788744;-27.45588127;-32.88933554
8.147526843;1.90204832;-5.463822648;-2.281208201;-0.296757933;3.159686992;18.7568594
7.291807886;-6.118666169;-18.26000198;0.95546116;-14.87924797;-10.36377166;-6.909380472
1.28123847;13.82386092;5.778641078;7.558205622;-6.962102717;14.3868142;13.81366536
5.249261294;-4.868973938;9.50532566;-11.90317191;1.439638515;-0.57599516;4.768600815
5.181265955;-15.7561196;-9.837158596;-7.547523787;1.932220352;-16.45655773;9.451199848
