# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cap-MacEqu
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=5)
"Cap-MacEqu";"Gov.NatLoc";"UrateLabForce";"Emp.JobVac";"HStartsSA";"LoaAdv"
-8.412737542;4.031729084;31.333333;3.4;-4.187927389;10.12000016
-3.075765908;3.452808783;-27.66667;-3.7;-37.33122991;-5.552905761
7.795584681;-0.755384586;34.33334;23.3;-20.76557554;1.396066633
19.3822436;0.683504626;-6;-2.5;10.51752549;-0.822459289
31.78711238;2.150799781;43.66666;14.6;14.53447094;-0.659774066
-9.817039936;3.748100013;19.66667;7;16.64133495;-2.811494814
24.01245828;1.484756455;-12.33333;-5.3;-8.203880351;3.057263845
13.95503598;4.74706691;-36.00001;-1.9;9.476211904;0.130456956
26.6758281;7.119388467;-24.33332;-4.9;0.53140461;2.936469765
2.399652467;5.848786551;16.66666;10.2;-2.337544072;-0.77743827
-20.09379584;6.285452876;22.66666;9.8;15.82636797;-1.60669409
-4.664775899;-8.123810615;27.66668;0.8;12.66203914;-0.29548107
-9.360032989;-0.894032144;-64.33334;7.2;-16.99260659;-0.359275336
26.621732;1.94394596;40;-1.3;2.357514163;0.081336153
25.85515211;4.339641405;3.33333;7.8;9.405532515;0.643197574
7.870396552;4.083366483;-0.66666;4.7;-10.95647867;5.228718507
7.96689225;5.100780751;8.66666;10;2.495794664;6.715553547
3.082207031;2.174036549;-15.66666;-5.1;-19.18446651;-6.5582793
13.85806987;1.450021877;19.33333;6.3;-64.62653875;-4.738801567
-10.9311124;4.980742757;-33;-5.933333333;-27.13646261;-1.357179009
-10.6967932;2.074831417;-9;-5.933333333;26.18319856;0.861156
0.328383454;2.190800433;58.33333;-5.933333333;69.63953911;-9.147087462
-4.563488583;1.001436794;-65.33333;-5.933333333;3.93072732;2.326739072
-23.15642731;4.220542108;-22.33333;-5.933333333;-18.04681675;2.93789636
39.83427448;0.697381095;26.66666;-5.933333333;-46.7134449;-2.74641266
-43.1174098;5.197092314;7;19.5;-75.67662982;0.356131215
-24.78878552;0.676940596;-20.99999;2;-19.69575921;-0.379228916
-16.08006372;-1.571025367;49.66666;8.1;0.964383985;-1.312142213
23.64446924;3.544015809;14.66666;12.6;-1.096071229;0.842894927
10.89423554;3.067873633;-56.99999;-1.7;-7.489278723;0.898034272
7.684065614;4.738188065;-44.33334;-2;-2.018054619;-1.239569115
24.69484471;5.502259322;75.33334;-4.1;13.52615064;0.211913911
0.097734992;0.96549393;-44.33334;-4;-2.179129425;1.747475135
2.765750903;7.757015649;26.33334;2.6;5.942743412;-1.573402641
7.194230955;2.242411888;-12.66667;-3.7;-13.53092725;2.516479558
-4.274015891;-2.271366273;4;-3.1;-4.388758805;-3.677663855
-14.07988496;-3.334079539;1.66667;-10.1;1.662643477;-1.261609043
-32.22005191;3.604238992;33.66666;-15.1;20.83781713;1.123913517
-1.756147974;2.614953914;-43.66666;-6.4;33.46500417;1.998684423
-6.417659908;-0.920974145;-28.66667;-3.3;5.018788788;-0.01811002
-25.45640276;3.185590874;0.33333;-1;-0.232041;0.158979951
21.61821917;-0.266882724;51.66667;4.4;-8.128454855;0.666677244
-11.19001513;3.389488719;-12.33333;3.4;7.625237021;0.505323111
12.05849147;3.314129821;12.33333;-1;-5.028080823;-0.191193306
2.439437621;3.872337414;-27.33334;4.5;5.492611989;0.646954508
