# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-FurEqu
# prediction_type;rolling
# method; Part-GFS_te(n_components=3)
"Cons-FurEqu";"HStartsNSW";"HStartsTAS";"PIMP"
4.14861413;-4.558023182;28.25912641;5.230932749
3.963501658;9.361923997;-5.494363181;13.1988226
6.22360504;21.43415992;-1.848354442;-8.059692627
1.494281448;38.89138796;-15.10260901;-5.178087786
-1.026718566;-27.61605263;-25.08149534;16.5049144
3.350415121;-21.30704964;2.413560333;-13.98782599
-0.83497653;6.75962982;23.19229602;13.67777927
-1.581949253;-11.37556425;-1.575149706;-5.557241163
12.52898845;17.36407662;-17.38235415;4.391727357
2.522246844;26.73777277;22.08931629;-13.35645553
1.56836587;10.13015992;23.8826704;-27.45588127
2.007476471;23.3984825;44.01736453;3.159686992
6.707272432;-6.383367402;-19.63308463;-10.36377166
4.481961496;-5.060800697;13.59134146;14.3868142
6.438598077;-0.645982287;-0.297066497;-0.57599516
8.134730596;8.412876381;-17.30820291;-16.45655773
