# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; UrateLabForce
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=6)
# prediction_type; rolling
UrateLabForce;HStartsWA;HStartsNT;Cap-BioRes;HSexfinVal;HStartsNSW;HStartsVIC
-15.666667000000002;-23.07382576;17.75035263;-11.47854947;11.09550276;-6.874321211;8.297846612999999
41.666667;-27.791941100000003;-37.79032137;-18.46940131;8.73966356;10.25151292;23.59597624
-11.333333;-81.83446384;-36.07428713;-24.51670602;-76.30424091;-56.59413376;-49.13599022
22.666666;-46.21011673;-73.89364128;-11.17574748;-69.09729128;-61.81240864;7.603146754
0.333334;46.33166021;28.88332325;1.9950166040000001;66.66988287;43.18843738;-42.35701267
-47.000001;60.86957760000001;37.71528301;-4.670611865;21.81537257;-2.623345366;20.21919848
2.666668;37.9579934;-81.36042903;-12.26671936;21.65613463;23.14261445;15.42578449
-13.666668;3.731943315;-17.41632342;16.27343065;7.888529461;-13.24880259;-12.20088939
12.333333999999999;5.973742949;-11.68741819;40.41289009;22.60551444;23.69603122;-4.518301285
4.6666669999999995;8.343185849;-15.38651244;57.00002504;56.51745417;87.77741831;1.4668291269999998
-19.333334;76.78880674;6.666820994;21.79132839;67.17147485;12.82860941;40.09300888
61.666667000000004;17.72372296;-21.50447064;26.70836907;18.51344162;28.16690729;0.974761109
-27.0;77.81197832;98.45322779;29.77498458;102.0718468;63.12164985;69.00353991
-55.666666000000006;-19.45562058;50.33254736;45.68310906;-17.69335676;-68.47122547;-30.67089925
63.999999;-15.97939034;-40.45550251;16.83277817;3.39885627;-16.65778965;7.449354547
21.0;-48.58591795;65.31787278;8.695994655;-24.39990987;-30.91000229;-38.10236539
-27.666665999999996;-109.3059003;-40.39036694;0.0;-55.13795777;-66.784965;-50.05957235
5.666666;-31.78207362;-109.5555;4.632568483;-45.75749787;-53.28899402;-64.91094175
-22.999999;17.86847333;39.61568314;-8.594780079;4.62230514;14.80990742;-25.48363361
8.666666000000001;3.8918960639999995;22.20111383;-15.87656486;64.22347306;55.87350702;67.66875848
7.666666;-47.74491761;42.70719017;-25.26337274;-43.98303508;-57.00246158;-67.49918999
-12.999999;21.24583488;7.523732783;-42.72414279;6.821868257999999;3.763729408;2.631191456
-43.333334;-5.060689538;33.35264358;-42.83925422;8.634008745;33.75562661;-8.510959403
-19.999999;17.18517496;-1.5267194869999998;-30.98322362;12.03004248;-30.35233259;13.12782133
34.999999;48.69677205;0.764088255;-18.68471543;68.83741651;56.68982796;48.9851239
-49.0;68.66905272;31.54704769;-19.01005675;19.67126675;55.11002612;38.75676419
33.333334;10.36201402;9.756581319;-37.71130561;-13.01906573;-18.98942998;2.683998935
40.666666;65.08511228;24.69508017;-13.85134274;26.62461704;16.59347415;-5.770892644
-38.999999;42.81522635;64.42462295;9.942516842;44.60723545;32.37095635;36.84118823
36.333332;-0.818544575;82.81462647;30.85715034;24.60782703;20.16859815;21.394925399999998
-64.666666;-14.29493894;40.43844666;-7.957416208;-1.267908895;-16.02611426;30.79797442
10.666667;35.98874058;-5.708557561;1.850427356;19.04555608;50.73486496;-1.9614317419999998
4.666666;35.05648979;34.22233399;9.125871106;20.71224457;-4.368282549;34.21191506
43.000001;22.87017584;-33.40182096;17.64992196;24.33379652;12.20712328;20.87887836
53.666666000000006;19.32306205;31.89095979;-9.316287202;37.13648994;31.70073304;40.90929125
-73.333334;46.71588519;17.40209642;1.176471436;36.14629935;26.77098505;17.28053265
-3.333332;-2.77758374;21.51245563;8.139815766;9.323164234;14.41096998;-5.815678202999999
58.33333199999999;-63.44664514;-33.65131819;43.58047352;-39.09013136;-43.02138103;-46.32255269
-59.33333199999999;-18.39295518;-86.3733517;-13.64961833;-31.796813500000003;-23.43674701;-41.0045643
43.333332;-69.40769008;47.16471088;-16.35105032;-43.10767357;-31.68763307;-53.08880148
11.000001;-15.41140471;41.4432835;-22.30742382;2.673243142;6.755667379;-29.68845359
-19.666667;45.41713634;29.00599239;-33.73645937;11.48696028;3.401116387;48.55313748
-1.333333;-0.187410037;11.91070562;-62.19396114;-1.852834626;11.28723158;21.3431826
-28.333334000000004;22.03682204;-44.27336106;-26.26425832;13.63021657;5.377709833;33.30033865
5.6666669999999995;-16.79581723;-84.32540508;12.57470937;-13.31351569;0.8113011309999999;-28.11909517
-10.333333;3.3164630330000002;30.69877252;67.4757632;13.38722244;52.86425207;37.17880021
-1.666667;7.375874436;40.68544682;-31.96262055;23.85135049;-14.87614779;-33.57806623
16.666666;21.95451662;-9.790013964;-8.58709185;28.177318;22.69088881;-0.6996782220000001
-43.999999;-15.57235297;40.31644907;9.294430672;9.970747088;-12.37150403;33.33297533
24.0;-2.464203964;-30.139774900000003;33.21127584;15.51482666;1.776569201;-0.164535703
24.999999;-1.76217364;9.546992525;-39.62281115;8.439612613;-10.73835169;3.685781317
-16.333332000000002;6.952284165;5.248435223;-7.246575002;-2.766939902;9.497602713;-1.7703964490000001
17.999999;34.14371088;3.707162735;19.27223756;21.12348655;-0.576288851;3.397682824
15.666667000000002;-41.76202141;14.85005309;54.630214;-14.43904771;-22.05655584;-15.98666766
-55.333332999999996;8.999397279;42.78369478;-32.9299781;23.32848898;4.232618761;-6.675343075
4.666666;11.63583667;44.12014849;-0.660611215;39.28008225;14.8484358;41.41885409
12.0;18.25257914;28.96818678;23.12039956;44.03820021;53.72460074;9.468653048
45.000001;3.750895742;39.50076017;55.28026472;15.42928782;11.82793364;-3.0635970880000003
