# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;90daysBkbills
# prediction_type;rolling
# method; FCBF(n_components=9)
"90daysBkbills";"M1";"Credit.Total";"Urate.LFT";"Cons.RenDwe";"Cons.InsFin";"ResInv";"IP.Total";"IP.TCO";"Emp.TotalPer"
-0.17;7.458928362;0.171639566;0.166666666;2.238002299;-3.271020791;2.969134773;8.151664935;8.020318818;2.2704047
-0.09;2.658220555;4.453015758;0.2;2.919444956;0.481426832;-23.89133469;2.871512691;-36.12411726;2.1301725
0.033333334;3.879205847;0.217285663;-0.266666667;4.168109981;4.566507873;-13.28134774;10.72753073;-6.57188934;0.731697726
0.076666666;-3.525718078;-3.293710588;0.133333334;2.260733318;6.179054432;-1.365743949;-5.045617006;-8.93392804;0.932824975
-0.433333333;-2.928718188;-0.320908186;0.199999999;2.336507069;7.842561751;1.690234922;1.688953952;18.5361349;0.020883225
-0.703333333;9.247524201;-2.394341427;-0.166666666;2.821051952;7.650788938;9.487624269;2.240902219;-5.427491682;0.411017256
-0.5;-9.115407126;-0.71477016;0.066666667;2.641333178;7.024491541;22.65918152;-5.625971787;7.578034497;1.379275806
-0.173333334;5.474131925;2.089536266;-0.133333334;3.533310452;8.443164923;16.41977818;7.298448091;20.28132322;-0.121556759
-0.8;2.529602005;3.574655436;1e-09;3.345137311;9.463518847;16.0483203;4.426047925;-12.42335881;1.046416355
-0.003333333;-3.618427892;-1.225248766;-0.266666668;3.430809153;5.580063738;31.86845285;5.464565862;8.324962298;3.096010354
0.023333333;-11.05609124;-1.963100956;0.233333334;4.300131292;6.662115892;6.571612488;0;-9.588786415;1.404988025
0.093333334;7.711635937;-0.435755945;0;3.18459675;7.653082472;6.317360682;4.855083206;16.32879781;2.103764923
0.063333333;-0.973033379;2.317785731;0.133333334;3.394018527;7.796810922;7.722625013;-1.073826148;8.813576391;2.01781472
-0.293333333;-5.667942605;-1.111690807;-0.600000001;3.474878927;9.335354274;8.714733016;0.537273419;-10.23381628;1.567761622
-0.046666667;6.904145598;-0.084479379;0.233333334;3.404275867;12.19701494;6.483580991;5.86286312;-0.610221324;1.355530845
0.06;-3.571078724;-0.772338671;0.066666666;3.684671678;11.43941435;3.202802142;-7.476853205;-25.20518713;1.528573605
0.09;0.44862224;-0.344986021;0.1;4.542011865;9.186787684;19.44561057;2.686376786;3.883525651;2.39096215
0.526666667;1.414389174;0.635983157;0.033333334;3.162176396;7.872883957;17.28065347;2.668455527;-7.805125689;3.318645819
0.316666666;0.676818503;0.144550368;0.033333333;2.980434265;5.257641316;44.53686724;15.64736664;37.38696486;1.323732032
0.41;0.940562652;1.580387988;-0.266666667;2.191571865;4.756964074;27.20202221;2.040820754;-2.199455679;4.521612138
0.226666667;-0.054061722;0.686210778;0.133333334;2.024335221;-8.149210553;-74.78716838;5.559154544;-3.423126857;4.382048066
-0.106666667;-0.953724617;-3.396658844;0.433333333;2.374583518;4.173405186;-68.1800403;2.002507311;-8.791562688;-2.21411839
-0.766666666;4.444914982;1.881512549;-0.066666667;2.55239511;0.093636612;13.23458804;-2.002507311;-32.05153761;0.790036867
-0.64;6.296468662;-2.298960182;0.300000001;3.018689994;-0.312207322;14.64804095;1.502819551;4.897111806;2.633092233
-0.06;-2.006145396;-1.48795419;-0.200000001;3.021267425;-2.003918086;33.9575913;-1.502819551;-0.664268074;0.939789645
-0.55;1.901139622;3.448390993;-0.166666666;3.186068461;-4.006500628;33.33019044;5.482951892;-1.109570753;1.114243798
0.046666666;-2.459999039;-0.623178576;-0.366666667;3.309608604;0.316932114;22.85233041;3.450421888;0;2.352391159
0.49;-76.28719259;8.010945666;-0.033333334;3.552727975;4.2855302;39.41471968;0.490496689;15.26070639;1.303037461
0.12;53.13905331;-6.022622092;0.133333334;3.314446201;1.688953952;0.679405684;1.955994118;-6.686594098;2.883104816
-0.096666666;12.47475515;-4.500419757;0.033333334;3.395915003;-2.818898206;10.61727672;4.848544213;4.971693293;3.266242469
-0.086666667;-0.022680229;3.435576665;0.233333332;3.367326943;7.442509672;19.85903386;0.962696012;-23.90091396;4.019703502
-0.023333333;7.573953823;-1.516519289;-0.099999999;3.600405805;0.462516914;-15.55243791;-4.836818306;-22.51473489;-0.526418856
0.07;-10.25103958;-1.169445755;-0.133333334;3.4977033;13.24513933;17.77928335;-1.951223381;32.20262044;0.935692928
0.433333333;2.352245894;5.970361235;-0.099999999;3.444055717;14.69290145;26.9397943;0.976801462;1.776793593;2.335349197
0.293333333;3.156330488;-1.124973583;-0.033333334;3.541850085;5.678306291;20.04481657;5.330181839;-6.478778886;1.178773097
-0.03;-10.51684137;0.085209541;0.266666666;3.224152409;5.179523461;-0.25037383;-0.963855888;-11.65463763;2.288383936
-0.073333333;5.477433288;-0.200842081;-0.033333332;3.744105871;0.81025418;2.96657052;0.963855888;-7.72631572;1.383513824
-0.023333333;4.004585046;0.071699786;-0.300000001;3.270127547;3.141632136;-2.632773561;-0.963855888;-21.86336502;4.718108677
0.203333333;-1.60476607;0.881727139;0.333333334;2.896936085;4.871899208;-0.278144786;5.272694681;-27.65065672;4.204963671
0.076666667;1.126556497;-3.239692396;-0.033333334;2.976063218;13.66183213;22.16251075;5.204094694;-24.55096538;3.695135622
-0.066666667;-0.846714285;1.379622177;0;3.020218185;6.867796494;-4.101243139;-1.412597113;20.78749676;2.476838178
0;-2.007915837;1.053821897;0.166666667;2.877236214;3.493245994;-8.684012136;-1.891256478;-30.57920239;0.869583064
-0.013333333;6.863476506;0.881055019;-0.133333333;3.128209194;6.440210676;-10.29650795;-3.331369643;14.31792083;1.766881246
0.223333333;0.212388855;0.585297917;-0.233333334;2.877632424;0.202762645;20.81142978;5.222626121;-6.808675028;3.440398349
0.31;-3.406166923;-0.973682446;0.166666667;2.760743036;2.651775978;-13.13269653;10.70453642;-25.70097561;4.302171119
0.196666667;4.995359168;-1.812605136;0.033333334;3.018157841;15.72120046;10.98251051;7.281202183;21.38593916;1.872713954
0.063333333;0.180229586;1.653295808;-0.066666668;2.953371009;12.32039729;13.68392701;-0.902934921;3.742380663;2.743565205
0.013333333;2.509193876;2.458402801;-0.133333332;2.711803533;10.49187324;-1.00441092;-0.452232948;39.00874021;3.752994004
0.296666667;-4.613263584;0.583828306;0.166666666;2.537436883;13.90565412;2.185868052;4.946662255;-2.084695272;2.910821955
0.396666667;-6.356113473;-0.863163562;0.133333333;2.593840957;1.674472288;8.550641155;0.44667788;-21.7430241;2.688855666
0.473333333;-7.879476419;-2.377108301;-0.333333333;2.52574904;-3.444680411;15.46228946;8.39346092;5.479537743;3.680434396
0.21;1.604514437;-5.333481763;0.533333333;2.499687992;-3.45223335;7.299254266;3.048463312;-6.584510822;2.483491222
-0.356666667;21.16541037;-0.749643839;-0.233333333;2.474014275;-11.25173426;8.377883914;1.299405582;-14.07604776;2.117917947
-2.383333333;-23.81603984;-1.167337581;0.333333334;2.640340387;-8.722036412;-6.650428335;-10.95958968;-20.2760996;0.626024439
-1.706666667;0.78003491;-5.227982334;0.599999999;2.753226304;-7.764006917;-13.03171918;-4.020134341;24.26757962;0.082819437
-0.193333333;11.47453351;-0.316204452;-0.233333333;2.883560549;1.698617942;-18.21672074;0.448682044;-58.22354156;-0.348698123
0.11;-3.90691321;1.460630683;-0.666666667;2.951750512;0.501028964;24.41351639;5.345291125;-40.36165591;0.592111732
0.683333333;-5.652566124;-1.33284067;-0.266666666;2.910533982;-1.91204953;14.45954777;10.48094896;14.61186963;2.176713548
0.276666667;-0.391864569;3.238731045;-0.033333334;2.889508856;9.39994128;-0.55639281;7.261277883;-23.04867941;2.644848222
0.52;1.953192207;-1.182797217;0.133333334;2.897755777;-6.392587774;16.31951803;0.423056623;-10.13662878;1.236820046
0.05;12.69549658;0.163530614;-0.133333334;2.924847668;-0.76163298;8.527604209;0.422609654;17.11889151;3.348790152
0.153333333;-4.589243377;-0.357655;0.200000001;2.703713555;6.052840404;-6.195883519;-2.117527444;-11.45574831;3.49205564
-0.02;1.239322928;1.47716325;-0.066666668;2.534207108;4.665864172;8.131564103;-6.852415972;-30.36476787;1.634021749
0.03;-10.6537619;-1.738120626;0.233333334;2.396007541;1.59717813;7.416178256;10.65593116;29.61429861;-0.253796152
-0.086666666;-3.460418277;1.057549702;0.1;2.297590337;-2.479514356;-5.079773561;7.500219738;-16.48532295;1.348158909
-0.256666667;5.114459901;0.926965075;-0.166666666;2.32165778;-7.484747812;-3.749180908;2.879189809;-30.90968068;0.908897019
-0.213333333;-7.284668446;-0.637359486;-0.066666668;2.345232261;4.638756917;-12.96717157;1.635994101;50.01550903;1.68889902
-0.623333334;9.230662071;1.474278152;-0.099999999;2.340750834;4.099255627;-11.68432668;-2.867395791;-25.02017956;1.333770754
-0.23;-25.61430127;-1.900443121;0.533333333;2.299725741;8.664598712;1.387044099;10.94847872;-40.95431942;0.831940701
-0.383333333;23.03379055;-1.227612179;-0.433333333;2.38648975;10.27505502;9.824695388;-0.400200133;47.65068457;1.223611719
-0.17;3.93014815;0.880474173;0.199999999;2.309135396;-6.640821053;-6.973289235;0;6.586105206;1.816778289
-0.12;7.346176778;0.608609012;0.166666668;2.268947695;-0.449665609;16.43052057;0.800000267;-6.195670817;0.436617076
-0.233333333;-6.801397798;0.433794764;-0.366666668;2.15793237;17.47444765;3.699372416;7.128901563;19.42313966;0.231504947
-0.053333334;6.714305544;0.60193835;0.200000001;2.226284744;6.408681813;7.08365343;1.175895016;14.95842334;0.048843173
0.043333334;-6.527267315;0.312876864;-0.066666667;2.266947247;7.702837922;18.85702139;8.902157454;-69.43452794;1.366351782
0.053333333;4.53068341;0.3892875;-0.066666667;2.262952489;4.773400312;10.06228232;2.290082591;21.15578557;1.152598482
-0.043333333;-3.097427666;0.384987019;0.100000001;2.162901099;-1.708568586;0.099554494;5.293082907;31.8305594;1.10204181
0.093333333;-2.377418292;0.619480492;-0.200000001;2.220752267;6.506870171;19.42883831;0;-50.43856565;1.316157987
