# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=9)
"EXrateKRW";"HStartsVIC";"IP.TCO";"UrateLabForce";"ResInv";"Gov.Nat";"EXrateIDR";"HStartsTotal";"HSexfinNum";"HCE.ParAcc"
20.74487737;48.55313748;8.020318818;-19.666667;2.969134773;-8.250628033;22.38289626;29.30782995;17.69490555;-0.570003659
2.297432735;21.3431826;-36.12411726;-1.333333;-23.89133469;16.77277372;5.618508293;7.181546981;-4.488360191;-5.366271179
13.98054287;33.30033865;-6.57188934;-28.333334;-13.28134774;3.733124273;13.26088292;8.687988549;6.800945763;-0.552468297
19.09192803;-28.11909517;-8.93392804;5.666667;-1.365743949;-11.91981673;14.35692896;-18.359802;-19.0642992;0.52627686
10.24292378;37.17880021;18.5361349;-10.333333;1.690234922;9.116416692;-1.303876562;36.97314451;11.4716614;4.882843488
14.40730015;-33.57806623;-5.427491682;-1.666667;9.487624269;-11.27381344;8.11590804;-16.77715745;14.8595667;1.05412478
6.165137367;-0.699678222;7.578034497;16.666666;22.65918152;3.579942788;-4.576381631;11.47194748;11.58272717;-6.991823509
1.130246895;33.33297533;20.28132322;-43.999999;16.41977818;10.71419043;0.359421428;5.107405585;2.72760194;4.841987749
-10.55903723;-0.164535703;-12.42335881;24;16.0483203;12.90950821;61.79368907;-5.464937835;0.050806554;-2.154159861
101.8936624;3.685781317;8.324962298;24.999999;31.86845285;3.917759037;110.0233911;-5.947589154;-0.330358012;-1.080347362
73.3306779;-1.770396449;-9.588786415;-16.333332;6.571612488;-14.04488223;339.2129673;-1.628554648;-0.004237089;1.618343408
-68.05581479;3.397682824;16.32879781;17.999999;6.317360682;15.36822683;26.21697912;15.86697322;17.38719315;0
-39.88021656;-15.98666766;8.813576391;15.666667;7.722625013;-4.716513393;-11.10601412;-32.09840412;-35.05062334;-0.5409061
-0.961834087;-6.675343075;-10.23381628;-55.333333;8.714733016;15.12331342;-146.8264561;4.512247776;8.383166494;4.847811774
-12.13598339;41.41885409;-0.610221324;4.666666;6.483580991;-7.927613315;56.27977889;27.02585186;27.48611603;-2.170719021
7.683928953;9.468653048;-25.20518713;12;3.202802142;4.582010235;-34.45076585;30.55883528;35.67304925;-3.202853951
3.585448534;-3.063597088;3.883525651;45.000001;19.44561057;-4.994142411;-10.63025773;5.110145119;4.166531656;3.197165012
-14.67363831;24.31861615;-7.805125689;-6.666668;17.28065347;17.8916193;-27.41738501;30.51628726;23.94749499;-2.130497713
-31.29262268;-14.93656311;37.38696486;-16.666666;44.53686724;15.82475293;4.410696559;-16.5932278;-18.22027241;-3.735851038
-22.40227036;-38.46061915;-2.199455679;31.666667;27.20202221;0.710017345;25.51605619;-40.31292663;-52.87204713;1.045861075
-15.89670756;-4.867377535;-3.423126857;10;-74.78716838;-1.824917993;-1.590137889;9.963458626;11.83420916;-12.15707522
5.413171587;20.41424379;-8.791562688;-113.000001;-68.1800403;-10.37144154;9.130744184;17.38799428;7.121684983;18.74953516
16.03968482;4.457635439;-32.05153761;77.666668;13.23458804;7.917226845;6.986277347;11.52217444;14.56082084;2.700155863
-1.717464146;42.21569784;4.897111806;69.333332;14.64804095;15.26428507;50.45109925;42.36508029;44.53914573;4.696040608
-0.672137141;21.10877977;-0.664268074;-83.999999;33.9575913;0.666609355;-81.900097;11.55661138;18.88314839;-4.982745755
-0.284085913;-6.916985925;-1.109570753;9.333333;33.33019044;4.998495902;46.99160099;-0.34564708;3.56293835;-3.194968579
13.45640524;14.65349094;0;-11.333333;22.85233041;0.97414598;-9.90199594;7.006757302;-0.032072934;-3.120952114
3.656784755;-16.74758851;15.26070639;-21.000001;39.41471968;6.06310379;-18.10168935;-4.707222803;-18.43102662;2.582320137
-17.29059419;1.201202331;-6.686594098;56.000001;0.679405684;2.886816505;-4.60223748;-8.774316222;-18.76845451;-10.37983801
8.773239337;-5.307897466;4.971693293;6.666666;10.61727672;3.48077319;11.631363;-4.532272995;-8.258128383;19.69238271
26.60221819;22.03885778;-23.90091396;24.666667;19.85903386;6.00860324;19.80018279;23.00940781;23.2742039;-13.93829202
30.72240867;-2.503682152;-22.51473489;-106;-15.55243791;3.078014489;9.202063106;11.21865579;8.884932931;6.626545426
-5.744917452;16.33622315;32.20262044;22.666667;17.77928335;4.943859216;9.353617947;20.415218;9.596070241;-5.59706049
47.33510521;-5.743645009;1.776793593;31.333333;26.9397943;0.465657794;39.19980782;-6.073774779;-18.1726031;4.048090797
12.45600911;-41.38398304;-6.478778886;-27.66667;20.04481657;9.097717869;21.7089566;-50.810365;-55.72577671;-1.525661538
-32.01135901;-13.40733472;-11.65463763;34.33334;-0.25037383;2.165344395;-2.531328387;-10.73997277;-1.697538681;-4.025801808
-3.493188154;16.97658544;-7.72631572;-6;2.96657052;11.47453503;2.920922205;3.422121352;7.435064604;4.532432402
0.987682993;4.833193775;-21.86336502;43.66666;-2.632773561;2.510218418;30.13184129;8.032095144;12.88021547;-0.510413643
-13.60799894;33.14102182;-27.65065672;19.66667;-0.278144786;5.85534988;13.07055311;28.81384916;24.7469648;2.480385033
-8.220067511;17.00302805;-24.55096538;-12.33333;22.16251075;-2.3948641;6.242711358;2.846069487;-8.27144587;-2.994989486
3.646788868;-9.891308184;20.78749676;-36.00001;-4.101243139;-2.904792314;17.33238269;9.298259176;7.347956842;2.456075647
-11.08368245;20.36848054;-30.57920239;-24.33332;-8.684012136;2.668455527;-16.33746982;13.83689527;21.54928176;2.393344606
-26.65438629;-9.053430181;14.31792083;16.66666;-10.29650795;-0.532268874;-32.3484458;-1.953874647;0.262069914;-5.839519768
0.420994568;11.99999999;-6.808675028;22.66666;20.81142978;11.2042336;2.655222538;16.74376204;17.64860981;4.801978439
5.962114686;20.06783761;-25.70097561;27.66668;-13.13269653;8.389792235;4.508452633;9.621278128;-1.835091797;-1.948220793
3.808548414;-12.55322205;21.38593916;-64.33334;10.98251051;9.796862449;10.31371683;-11.37339441;-14.83310909;-0.491080959
6.45189877;0.096669632;3.742380663;40;13.68392701;5.334747592;5.345705936;-3.241584498;5.42478093;2.321217583
16.19251119;13.75678849;39.00874021;3.33333;-1.00441092;3.206502197;15.21192481;16.92626193;25.44502527;-0.514777199
8.281113077;-6.03156543;-2.084695272;-0.66666;2.185868052;-1.834288158;21.11001194;-11.47205524;-8.740049037;2.684277307
17.64238733;17.53824998;-21.7430241;8.66666;8.550641155;2.300509576;21.4151857;0.578735981;-4.102600004;-1.007309429
25.58885863;4.520535801;5.479537743;-15.66666;15.46228946;5.358216345;5.218848924;-15.20050921;-30.79301815;0.355589666
