# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"EXrateKRW";"HSexfinNum";"ResInv";"Cap.MacEqu";"HStartsNSW";"Cons.PurVeh";"ExrateMYR";"Cons.Edu";"HSexfinVal";"HStartsTotal";"Gov.NatLoc";"HStartsVIC";"EXrateIDR";"ExrateCNY";"M1";"Credit.Per"
-5.217067749;47.11136125;-10.98815961;-3.587467993;56.68982796;6.039922582;-0.706310757;-26.92386111;68.83741651;47.11136125;2.947443808;48.9851239;-0.710795478;1.94839428;8.729923477;-1.88773411
14.03232443;21.18582211;-4.086672245;-2.97873717;55.11002612;-3.008561192;9.355162841;-2.023271891;19.67126675;46.44667058;5.946269274;38.75676419;12.17390092;11.7161848;10.2327561;-4.811416549
5.696411218;-15.49937131;16.57517909;-1.354845756;-18.98942998;8.152456106;-9.981258762;32.85253391;-13.01906573;-7.581628776;-1.756350943;2.683998935;-1.469160213;-2.857290797;-7.100658965;3.426406763
-2.693735831;19.1335757;14.92970358;12.65483398;16.59347415;19.17006151;-30.82677585;-62.92035126;26.62461704;24.31921055;-3.268046524;-5.770892644;-4.440137005;-5.241507274;2.128289451;2.567010998
7.076616046;33.81956627;5.654603638;-4.59375155;32.37095635;-22.95387351;-14.35184035;37.14480131;44.60723545;38.49941927;-3.784800836;36.84118823;2.356798962;0.724069467;0.623395456;-2.311272048
-15.28243549;10.55823618;18.50590553;-15.34121851;20.16859815;49.00959438;-20.06712905;-11.23646684;24.60782703;15.50709959;19.67136532;21.3949254;-15.52817797;-20.5630097;30.40470827;5.252144519
-21.58117017;-4.989582778;21.97285074;117.6287482;-16.02611426;-11.94846533;-11.34127452;-18.97124319;-1.267908895;-2.392283;-8.652854283;30.79797442;-15.77877276;-3.283136374;-38.57824626;0.980769449
7.807331038;12.79757975;9.692177741;-23.55591245;50.73486496;-16.16381534;12.8872413;50.41402609;19.04555608;23.03639513;6.393872886;-1.961431742;4.678415718;7.70284771;7.748251709;-4.596098061
-0.763000761;22.20612752;8.235585031;-0.805755668;-4.368282549;-2.326339352;-10.96448814;-22.68508461;20.71224457;22.83788502;-11.2406125;34.21191506;-1.21113394;-4.582213877;5.953063206;0.976418744
-8.1142361;2.37973508;18.14900717;-3.181276258;12.20712328;5.662900244;-14.5492953;6.365759972;24.33379652;10.10562873;0.216292666;20.87887836;-8.010633982;-8.853872836;-9.642570517;0.657059104
