# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; COMMP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
COMMP;UrateLabForce;ExrateMYR;Cap-BioRes;BusInv
4.547003006000001;-15.666667000000002;-57.08130991;-11.47854947;20.59540653
-58.17157487;41.666667;28.80630188;-18.46940131;16.44004798
30.73715078;-11.333333;-19.16319755;-24.51670602;-4.294382558
-21.21169109;22.666666;24.70311764;-11.17574748;1.167621801
-3.250982505;0.333334;16.97199819;1.9950166040000001;18.18993216
45.84032805;-47.000001;-59.07040095;-4.670611865;0.042847196
-32.27416387;2.666668;24.15480679;-12.26671936;44.97478435
6.687655164;-13.666668;2.531950782;16.27343065;-16.73262623
-11.03068445;12.333333999999999;16.13057148;40.41289009;40.66027134
14.68718619;4.6666669999999995;3.4047832760000003;57.00002504;8.492736507
13.77477667;-19.333334;-10.42436111;21.79132839;24.61314447
-2.376785697;61.666667000000004;23.990422100000004;26.70836907;18.61706084
-13.88613159;-27.0;36.16477969;29.77498458;36.67520281
-16.23113099;-55.666666000000006;17.10791269;45.68310906;-26.50609164
-6.139329782000001;63.999999;30.39528139;16.83277817;34.35116452
16.81464875;21.0;-0.768682267;8.695994655;17.20337262
28.19660941;-27.666665999999996;-39.81746373;0.0;16.33748864
-25.35893429;5.666666;-3.940727318;4.632568483;-1.488884078
-4.323107211;-22.999999;13.57254235;-8.594780079;-6.782731052000001
2.0118051980000002;8.666666000000001;-10.97984472;-15.87656486;-7.46881797
-6.638858681;7.666666;4.273510658999999;-25.26337274;-20.96002474
-13.88120496;-12.999999;18.81017868;-42.72414279;-4.5120283
25.43135945;-43.333334;-16.05826873;-42.83925422;-15.64898083
-31.8360321;-19.999999;6.560827014;-30.98322362;-31.63406717
23.52359526;34.999999;-0.706310757;-18.68471543;-9.846144384
-4.580496751;-49.0;9.355162841;-19.01005675;-16.1232608
9.448737772000001;33.333334;-9.981258762000001;-37.71130561;-10.80053302
16.48017903;40.666666;-30.82677585;-13.85134274;8.503076529
-28.53110476;-38.999999;-14.35184035;9.942516842;-6.050062576
22.273075100000003;36.333332;-20.06712905;30.85715034;-9.613088199
-9.76882163;-64.666666;-11.34127452;-7.957416208;76.67456617
-1.239187059;10.666667;12.8872413;1.850427356;-21.9300488
-14.82484887;4.666666;-10.96448814;9.125871106;5.408887448
26.9005652;43.000001;-14.5492953;17.64992196;-5.915778059
-15.73287033;53.666666000000006;7.402302297;-9.316287202;13.34288297
-4.632707371;-73.333334;43.27656321;1.176471436;29.400019099999998
-4.543463785;-3.333332;-6.237251876;8.139815766;5.038990913
13.22753503;58.33333199999999;0.378250619;43.58047352;14.44858574
3.7524268089999997;-59.33333199999999;9.033948345;-13.64961833;22.14066419
6.018981987;43.333332;-11.75268164;-16.35105032;5.557769462
1.119643685;11.000001;-28.20181225;-22.30742382;25.23900754
-16.35481328;-19.666667;22.09319661;-33.73645937;-3.749393105
-4.5225534430000005;-1.333333;9.121296774;-62.19396114;0.023993042000000003
5.34268498;-28.333334000000004;7.622710134;-26.26425832;30.34520477
-12.09461097;5.6666669999999995;6.414300353;12.57470937;7.709065216
9.768349433;-10.333333;-2.364445593;67.4757632;-4.298758338
-1.3472879819999999;-1.666667;11.77067491;-31.96262055;-0.022051324
15.98510786;16.666666;-19.66916699;-8.58709185;6.75665886
-7.379050397;-43.999999;-1.159069114;9.294430672;44.79369486
4.626519546;24.0;45.36945238;33.21127584;-15.17218915
6.174116178999999;24.999999;51.83096061;-39.62281115;5.43953988
-18.70773122;-16.333332000000002;25.2787916;-7.246575002;66.07378286
12.86460699;17.999999;-21.24895443;19.27223756;-46.97221617
-8.657331446;15.666667000000002;-12.95964069;54.630214;0.283949753
-21.41536658;-55.333332999999996;-3.3866960969999997;-32.9299781;8.666896531
10.47929144;4.666666;1.6885354330000002;-0.660611215;-8.818311315
-6.779014204;12.0;18.31604408;23.12039956;17.95351076
31.92944545;45.000001;-5.112543929;55.28026472;3.388323405
1.178205617;-6.666668;-1.546592982;-29.89410366;44.95377047
3.781029637;-16.666666;-16.44933938;4.078695208;-49.08486453
12.08865627;31.666666999999997;-20.99349491;28.52361108;22.61345244
-9.783963733;10.0;-14.48735522;46.81320675;13.46293074
5.590028468;-113.000001;-26.44861899;-18.17378253;-47.44266517
-25.38130841;77.666668;-7.841292942000001;6.974024729;20.72154713
19.99134633;69.333332;-8.893650437;24.8884092;-0.372167236
-21.44466713;-83.999999;1.129457957;56.18713465;11.84417725
-13.11820205;9.333333;1.379939065;-13.53281296;0.876910532
15.30325014;-11.333333;5.148006093999999;-15.73834053;13.55947564
-18.07461402;-21.000001;28.7897756;-24.60249871;15.70935777
28.97941461;56.000001;-6.608467841;-82.16949571;17.72031641
-3.2701090280000003;6.666666;8.636936694;-84.89041113;24.95353067
-21.48826287;24.666667;26.92380792;-1.4035102119999998;1.918056994
-30.3342355;-106.0;31.07669726;75.38154324;4.62826814
42.95514017;22.666667;6.210094289;138.8086049;14.17181744
-7.344839073999999;31.333333000000003;39.02809071;16.92095188;9.345023943
10.18576008;-27.66667;21.28239161;11.27930834;1.739739458
44.61813723;34.33334;-30.58917872;1.14887585;5.331218366
-27.59595211;-6.0;-2.030977902;-12.82285615;7.987708185
-28.81419023;43.66666;34.10406549;-30.34241002;30.99134402
14.53878507;19.66667;5.894704999;-3.4224807719999997;-0.34414729299999997
47.43262521;-12.33333;-6.25601507;19.700157100000002;20.27742629
