# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-FurEqu
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"Cons-FurEqu";"Mbase";"Cons.Hea";"TotComp"
6.22360504;-0.516761486;10.67093579;7.745000054
1.494281448;14.68021775;-5.862772807;3.983600993
-1.026718566;-23.12674;12.13793488;9.161472121
3.350415121;8.081702813;8.389624273;3.382444541
-0.83497653;3.846730854;10.65620397;-1.542204757
-1.581949253;10.65147572;7.073736771;3.9917162
12.52898845;-19.24305863;4.780134756;1.224631839
2.522246844;1.738188526;0.520813462;2.372727229
1.56836587;9.467897656;1.466882231;3.180801868
2.007476471;70.27807358;3.704292452;4.25199754
6.707272432;-34.80667537;7.959568438;2.377082606
4.481961496;-45.71856747;2.775328524;2.297529167
6.438598077;6.817706378;2.317656563;3.647978833
8.134730596;6.368005983;6.557048258;0.527398089
