# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;RHDI
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=4)
"RHDI";"Cons.CloFoo";"Cons.FurEqu";"Cons.TraSer";"Emp.HoursFt"
4.296991628;7.449854262;2.558892123;-5.838228365;-2.203908838
-2.251832146;16.23539583;14.62779486;19.05329184;6.778295645
12.56491233;6.456381203;9.007771687;6.4055309;4.0392962
5.848381995;5.933359718;3.698693746;15.09613119;1.976718946
6.987229188;3.212307767;11.52694492;19.33198835;-1.166164963
11.07860961;2.150356345;0.210360247;27.78122591;6.599415555
1.965041437;11.7254476;11.96437999;11.98538729;0.114208848
8.007497016;4.409598691;4.818418754;21.03790262;5.737285813
5.566922424;5.870333739;3.863310056;1.184406195;2.306877626
1.005906645;-12.23296266;-0.749672238;-8.969730555;3.201216946
-2.095687065;7.092858979;-2.660151595;19.28242174;4.890503494
26.20446099;0.861283977;5.89863226;-22.45302608;-4.372141064
-5.305245943;11.09550662;-3.789134654;-10.29039772;-1.664683606
9.263974952;16.27214751;9.406374047;-16.52863924;-5.139896661
-9.028550127;-4.599895292;-12.77682724;11.21201673;-3.242389188
2.018933028;0.187514653;10.27359801;-0.845964362;3.694672994
5.109689201;7.858555801;0.442886187;1.057176195;0.668264255
1.084699305;2.565285934;3.232934572;14.51437742;5.371713733
7.035478136;7.359580251;2.77120525;20.05548668;2.536596308
9.402520991;-2.458225529;-0.339291144;13.39488804;3.382953756
2.254985056;-7.160385377;4.14861413;5.518184081;3.17987495
-0.611075012;3.171231735;3.963501658;11.77090851;-2.499734604
6.245828427;-7.727931258;6.22360504;0.955509562;4.210899185
3.356669944;4.189165041;1.494281448;8.498401692;2.894353201
-0.48246354;10.1654238;-1.026718566;14.11303709;-1.538090972
6.399068978;3.094793001;3.350415121;-1.46830604;-2.320049412
-7.957772037;-4.771191204;-0.83497653;-9.561752075;-2.195941336
4.193423779;1.317761;-1.581949253;-3.842824316;1.111929176
5.528321919;4.164225593;12.52898845;-0.175554095;-2.190844436
-1.266274;5.816361569;2.522246844;-0.761626008;0.62633384
0.440981735;10.81769035;1.56836587;-4.659788744;2.791421773
3.483768534;8.815010395;2.007476471;-0.296757933;-2.766749934
0.8904183;-7.059006725;6.707272432;-14.87924797;1.435880617
1.811082357;-5.005041839;4.481961496;-6.962102717;2.647690511
2.037011517;5.174569284;6.438598077;1.439638515;-1.212113753
0.819848802;3.991319744;8.134730596;1.932220352;-0.851610414
