# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-HCR
# prediction_type;rolling
# method; Part-GFS_te(n_components=4)
"Cons-HCR";"HCE.MV";"Imports";"HSexfinVal";"Cons.Com"
-7.969755432;-0.389621674;17.23908629;-2.554973287;2.004560004
16.05577013;0.379276439;28.95041019;-24.4087994;1.904117843
-0.4836029;-4.218430335;14.92628261;-48.51787528;2.255051637
-4.226087272;-0.405941423;13.82074851;-21.05290393;8.455092862
8.228377574;4.254031253;-5.424049679;-5.285709074;8.62496663
8.590377547;-3.101156114;16.21461854;1.571326212;9.033191724
-7.902295405;-0.0094444;7.81189581;-12.21836696;9.245596404
12.53504559;-1.188898891;14.65193895;6.045715179;0.904698648
-2.469950821;-1.217052074;19.44126636;-7.357629894;-2.224287474
6.046038087;1.95910632;1.163655662;7.818483883;3.290845382
4.993110235;0.790400142;9.858233364;-6.009036541;0.900256134
-6.92137961;3.609833325;-0.59946629;7.34455614;0.326864165
6.297088904;-6.025151071;1.059603269;11.45567516;3.010898155
-8.002848419;2.806172863;0.948289079;5.053933163;1.214207145
-3.959851818;-4.089532838;-13.10770729;21.56035764;6.493779257
1.460388625;2.004506544;11.07502427;14.88382297;3.168333397
-0.320828338;-0.027434725;-5.833613616;10.40757382;-1.343476517
3.023050506;3.743741262;-1.992249492;21.31257135;-9.613921623
11.86878314;0.832031548;-9.361639652;8.936840507;10.79957608
11.63597527;-2.498700626;11.30357468;1.411150213;7.273638683
1.879664303;-0.00391442;-5.089159385;-11.16867653;13.86277352
0.868739313;-0.84427547;-7.230196721;13.70189412;0.67321194
