# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-HCR
# prediction_type;rolling
# method; Part-GFS_te(n_components=4)
"Cons-HCR";"HCE.MV";"Imports";"HSexfinVal";"Cons.Com"
4.959094512;0.892331777;-1.793193953;11.09550276;11.38152097
4.002006187;-3.287012459;9.516280621;8.73966356;1.317958359
7.060151321;3.239384907;-5.366970802;-76.30424091;1.968830882
-9.817812612;6.770246731;-2.693839628;-69.09729128;32.06743871
5.329298382;-8.723633673;0.944908901;66.66988287;-11.64833268
-10.90232001;9.951232591;-24.89290348;21.81537257;4.945967188
2.05626613;5.700608563;10.33960374;21.65613463;3.060458694
0.853667536;-13.29502096;-10.37547657;7.888529461;4.245680497
1.192082057;-4.846251675;19.46481319;22.60551444;13.05753923
5.68423213;1.612604315;9.321597117;56.51745417;4.066846942
3.61590669;1.499091824;19.79892976;67.17147485;-1.737873842
3.363913119;-2.78746454;8.580850016;18.51344162;8.614834058
3.281396581;1.479639466;7.791154354;102.0718468;10.6523464
3.146632258;0.576771297;27.34495973;-17.69335676;12.52655122
0.270106027;-4.94022477;43.66793099;3.39885627;-7.578034497
8.019514803;0.710581678;19.97302524;-24.39990987;15.54113756
3.792995628;-3.537772923;12.69568361;-55.13795777;12.92937383
4.32831288;2.278904697;5.562136829;-45.75749787;5.056957366
0.466532807;2.201278777;-10.05869347;4.62230514;17.2122436
0.672921543;-2.700252252;2.443878646;64.22347306;-15.70753964
-1.606531926;-4.840893536;-26.77852246;-43.98303508;27.56377215
0.259554873;-6.755761274;14.79719398;6.821868258;-7.071486468
-5.275949815;13.50737922;-20.81119527;8.634008745;8.93629171
-3.591731514;-8.627557866;-2.96364465;12.03004248;0
-1.914642666;10.42136812;1.136511161;68.83741651;8.285681755
5.453787577;-1.958460105;10.06070035;19.67126675;12.11534003
1.888775807;2.054865301;12.04104296;-13.01906573;20.25203644
6.38684303;-6.125879327;-6.743945126;26.62461704;-3.799500863
0.051509884;-6.402283882;15.81714586;44.60723545;10.8793317
-14.58139685;9.25689011;8.218011471;24.60782703;22.08287748
2.343548648;-1.806563863;8.83068689;-1.267908895;16.82848557
-4.647177864;7.243725848;-5.780347574;19.04555608;4.098778295
3.849782424;-2.931659986;6.693850683;20.71224457;32.38762501
3.338430984;0.866319628;10.55802874;24.33379652;-9.68905503
15.83033432;-11.3142873;0.3553187;37.13648994;27.08309981
9.721134831;8.931626368;17.71507208;36.14629935;7.779823846
8.473959231;-4.961867903;15.25025863;9.323164234;1.601924448
15.35633349;6.487309108;24.44219341;-39.09013136;17.21031975
0.326359363;-2.663000128;19.03869764;-31.7968135;-1.53433253
