# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Emp-HoursFt
# prediction_type;rolling
# method; Part-GFS_te(n_components=5)
"Emp-HoursFt";"HCE.ITA";"Cons.Food";"HSexfinNum";"Cap.IntPro";"X90daysBkbills"
2.358115969;-3.876057821;0.965631623;-8.258128383;9.689383761;-0.096666666
5.843783458;4.172964181;-3.287585007;23.2742039;8.450691557;-0.086666667
-1.375245191;-7.126069602;1.353985007;8.884932931;4.477488214;-0.023333333
1.280373266;-16.64414007;5.672417166;9.596070241;2.084518142;0.07
2.690211823;20.51601246;3.529765997;-18.1726031;7.965359974;0.433333333
2.923875116;-15.77986857;8.165814434;-55.72577671;-1.420329943;0.293333333
0.870888507;10.95161766;8.45697463;-1.697538681;15.78062334;-0.03
-0.516749941;4.471286447;2.146055818;7.435064604;2.386540214;-0.073333333
5.276863939;-3.127256786;0.285272804;12.88021547;8.408970597;-0.023333333
3.782699897;4.439060091;-3.149246853;24.7469648;10.7548808;0.203333333
2.998220568;-6.206996968;6.462483167;-8.27144587;8.495610872;0.076666667
1.190573114;3.543260487;5.547030177;7.347956842;9.714539351;-0.066666667
0.348804296;-10.27856022;-1.397055964;21.54928176;9.937449748;0
-2.203908838;27.08358905;1.443540566;0.262069914;9.401663915;-0.013333333
6.778295645;-17.27073873;3.12528719;17.64860981;19.22097159;0.223333333
4.0392962;-3.027268025;-0.854133927;-1.835091797;24.46891697;0.31
1.976718946;7.763859097;4.412569884;-14.83310909;12.04812284;0.196666667
-1.166164963;-6.886008134;8.860621102;5.42478093;11.82040661;0.063333333
6.599415555;11.87371655;1.42817446;25.44502527;26.97380423;0.013333333
0.114208848;-2.724552723;1.245483353;-8.740049037;24.06485862;0.296666667
5.737285813;-4.19205608;9.696646816;-4.102600004;12.46812131;0.396666667
2.306877626;6.749809236;-4.599631053;-30.79301815;10.23073672;0.473333333
3.201216946;-3.751340341;1.859298456;-78.02118543;5.913084091;0.21
4.890503494;2.561088115;3.800967976;-23.67534607;-6.587052237;-0.356666667
-4.372141064;-3.943094342;2.671560076;27.26640903;5.052915864;-2.383333333
-1.664683606;-13.2466607;3.974179372;78.95715905;-0.051239352;-1.706666667
