# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;RGDP
# prediction_type;rolling
# method; Part-GFS_te(n_components=6)
"RGDP";"Cons.RecCul";"Exrateavg";"ResInv";"HSexfinNum";"HCE.OthMot";"Emp.HoursPer"
2.917270031;3.826495573;-9.184693579;44.53686724;-18.22027241;-1.431259301;0.776154249
3.106348663;5.836614913;-15.96221764;27.20202221;-52.87204713;-0.041510163;2.652222414
0.272487352;16.00471594;-6.153967536;-74.78716838;11.83420916;2.612732236;2.578443619
-1.764559597;-14.19810232;-15.27506206;-68.1800403;7.121684983;-4.030897122;-7.238390236
5.075855603;4.950800111;-3.234518972;13.23458804;14.56082084;-0.017256581;-1.461821263
2.906719607;3.641222228;1.081081712;14.64804095;44.53914573;-0.017032103;0.262429829
4.512751483;1.664535052;-5.434866246;33.9575913;18.88314839;-0.661453534;-0.224841797
4.175155576;6.526877485;8.392862946;33.33019044;3.56293835;-0.009365354;0.344360275
3.320078483;10.69789742;11.09714499;22.85233041;-0.032072934;2.53850394;4.258047978
6.240952365;14.12830964;11.30454164;39.41471968;-18.43102662;1.830022548;-0.256415451
1.510204053;8.503808602;-12.34824744;0.679405684;-18.76845451;-1.948095528;3.011302469
3.236882989;4.571149758;6.735910497;10.61727672;-8.258128383;-1.271940289;3.230421213
0.135776366;-1.145066265;17.59077413;19.85903386;23.2742039;-0.023524347;5.854183008
3.065300223;8.087963109;25.01559276;-15.55243791;8.884932931;-0.023167642;-1.049647657
6.135649205;11.05524913;3.449288405;17.77928335;9.596070241;10.04432969;0.609433075
6.532693146;13.75278147;26.35882853;26.9397943;-18.1726031;-9.004182216;2.839817014
2.996086065;4.985632636;14.52408962;20.04481657;-55.72577671;-0.614527661;2.540236986
2.251214891;7.389436343;-23.84953229;-0.25037383;-1.697538681;-0.029642377;1.242173393
3.452363018;2.755288654;-2.200225614;2.96657052;7.435064604;-1.725254147;-0.334898278
2.855261328;4.449827826;17.2719762;-2.632773561;12.88021547;1.119538651;5.199275864
3.478460043;6.632741426;5.039436735;-0.278144786;24.7469648;-0.578831768;4.60561214
2.089582331;6.402884254;0.208604938;22.16251075;-8.27144587;2.75949472;2.758468936
4.864112139;2.885647991;1.041396079;-4.101243139;7.347956842;-7.219612027;2.199305212
2.96288629;0.941205297;-4.181951338;-8.684012136;21.54928176;4.984249288;0.296687114
0.865102462;8.585043978;-7.425299361;-10.29650795;0.262069914;1.075366505;-1.965798578
1.027268677;4.014235985;2.9866805;20.81142978;17.64860981;0.504325252;6.708808311
4.191102296;1.86426204;4.228369205;-13.13269653;-1.835091797;1.554317332;3.811982403
6.262424786;11.00671336;6.673773184;10.98251051;-14.83310909;-2.191092675;2.493535927
6.132959408;1.985451648;1.857109346;13.68392701;5.42478093;2.051939994;-1.856733641
3.302626747;4.431558309;17.32395614;-1.00441092;25.44502527;-2.138413274;6.261627746
2.944304662;9.371304118;4.118692923;2.185868052;-8.740049037;0.987858769;0.994803829
2.258276194;5.399066959;9.25788673;8.550641155;-4.102600004;1.957472827;4.722845736
4.970717944;4.521991315;-1.528177561;15.46228946;-30.79301815;-2.579893844;3.348026383
1.356216846;-6.543500994;14.84086633;7.299254266;-78.02118543;1.432082919;3.231211417
2.772254116;-4.182846341;-25.90147886;8.377883914;-23.67534607;-0.072517131;3.691391638
-3.246171797;6.418810239;-83.73739642;-6.650428335;27.26640903;-1.025257368;-2.463436846
3.979643032;-3.272177981;1.211021161;-13.03171918;78.95715905;-0.992996799;-1.448126319
1.931596097;6.305084437;50.59126445;-18.21672074;31.29089297;-0.968692956;-4.276080175
1.611806653;-2.818567153;25.78876927;24.41351639;-8.295471796;11.07228624;-1.364577826
2.88338048;1.881249793;19.68728635;14.45954777;-37.38029161;-9.35560746;3.774803683
1.523026721;2.360390678;0.190159243;-0.55639281;-70.10658768;0.40499643;1.760117136
2.435515384;13.71324712;-5.93738455;16.31951803;-28.68911611;3.025531858;4.5728356
1.991786174;4.806085718;7.644762053;8.527604209;-7.166827391;-0.998616814;2.421031144
4.390007135;7.639138468;18.85746595;-6.195883519;7.681855604;6.618551315;3.230217391
-1.500973447;3.007384202;7.690824928;8.131564103;-19.51203758;-10.63759836;2.695266193
5.333531171;10.13993529;15.12237447;7.416178256;5.483981236;-0.427166269;-1.959015517
4.657879989;1.285526949;-12.47394281;-5.079773561;-1.532604513;1.625387718;4.155559512
3.97991576;-1.727781531;0;-3.749180908;24.00151163;-0.033737366;2.942432887
4.117594698;4.990146692;11.62015378;-12.96717157;-12.09618467;-0.033126108;-1.525899675
2.328691535;1.990101004;-11.9722665;-11.68432668;0.879790559;10.16409925;-2.190889806
2.215612944;3.538680083;9.915706698;1.387044099;13.29252721;-10.31777585;-2.212359324
2.222377647;-9.097762467;-3.451272507;9.824695388;3.653944497;1.868595504;0.795698379
0.952585653;2.312973877;5.849566646;-6.973289235;17.50413966;0.303345691;-0.577421394
3.113451114;-4.793691426;-18.16906213;16.43052057;22.90057772;-1.924343596;1.03224264
1.34967792;1.348034592;-25.83923999;3.699372416;6.614409285;-1.871625735;2.69344037
3.447181698;3.902843283;1.90204832;7.08365343;9.053149958;4.004322546;-0.965898841
3.574058921;-0.323786414;-6.118666169;18.85702139;-0.902171231;-2.236801649;1.249777716
2.482873349;6.670127868;13.82386092;10.06228232;-1.157001424;-1.103300639;2.523401612
1.519985819;3.581779366;-4.868973938;0.099554494;-5.939159736;15.31723439;-0.701157951
2.185723381;8.79842613;-15.7561196;19.42883831;4.434204433;-15.441296;0.024958988
