# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; ExrateJPY
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=9)
# prediction_type; rolling
ExrateJPY;Hstarts-PDA;Unum-LPT;HStartsSA;UrateLabForce;Cap-BioRes;HStartsTAS;HStartsWA;COMMP;IP-PRM
-56.0810178;9.82314031;16.69539192;-27.52798427;-15.666667000000002;-11.47854947;19.07962263;-23.07382576;4.547003006000001;10.83056158
-2.7067103830000003;-10.92964193;-4.699432064;15.79388653;41.666667;-18.46940131;13.73525503;-27.791941100000003;-58.17157487;1.391305751
-60.41539571;-29.89897037;25.711119699999998;-84.60645956;-11.333333;-24.51670602;-86.08205949;-81.83446384;30.73715078;-18.47575299
-29.95758125;-44.13922299;12.70355362;-85.03983554;22.666666;-11.17574748;-55.54447413;-46.21011673;-21.21169109;-19.87986742
-36.20431554;-30.46454437;11.08587198;47.29246598;0.333334;1.9950166040000001;30.84379006;46.33166021;-3.250982505;-1.531590895
-93.76554559;-1.44144303;12.21930807;16.30968154;-47.000001;-4.670611865;-2.232563935;60.86957760000001;45.84032805;-4.630276783
42.60379346;-2.8985633789999996;-15.30241246;9.147143299;2.666668;-12.26671936;30.17588304;37.9579934;-32.27416387;39.39219956
-11.18720254;-4.387612548;3.574203537;24.21467609;-13.666668;16.27343065;-5.8089896670000005;3.731943315;6.687655164;1.871348442
0.69054241;4.387612548;-16.27767658;-15.71079733;12.333333999999999;40.41289009;-10.91408162;5.973742949;-11.03068445;16.45946491
4.929309572;32.12895551;21.51925687;14.86572659;4.6666669999999995;57.00002504;49.69721983;8.343185849;14.68718619;6.66311909
-48.52692194;50.38096372;7.20091454;57.67248569;-19.333334;21.79132839;44.1994588;76.78880674;13.77477667;10.00595947
-0.726506807;38.339183399999996;5.316870484;-10.07391997;61.666667000000004;26.70836907;0.0;17.72372296;-2.376785697;11.85271904
34.99962622;40.85179793;37.61157986;68.46000578;-27.0;29.77498458;59.28928901;77.81197832;-13.88613159;-19.22420137
26.72296958;38.82953949;-78.73986294;11.59200082;-55.666666000000006;45.68310906;-4.121198607;-19.45562058;-16.23113099;5.649197645
-3.6309252689999996;-8.009166352000001;34.62022661;8.96750875;63.999999;16.83277817;-24.60211647;-15.97939034;-6.139329782000001;-0.863931221
8.782539524;-3.6117625980000003;9.781014419;-28.92701202;21.0;8.695994655;-12.34721158;-48.58591795;16.81464875;-29.60992621
-5.46333036;-12.90434498;-10.37794048;-33.34327715;-27.666665999999996;0.0;-25.70638199;-109.3059003;28.19660941;121.53948249999999
2.623286571;-85.29583839;2.38237762;-69.16473909;5.666666;4.632568483;-86.89040677;-31.78207362;-25.35893429;-42.75559347
17.19677921;-14.16077082;-14.388735999999998;18.89258906;-22.999999;-8.594780079;5.025492368;17.86847333;-4.323107211;-19.19114987
6.651222509;-8.498043323;14.98211964;52.43226614;8.666666000000001;-15.87656486;46.63730698;3.8918960639999995;2.0118051980000002;-10.98187939
16.01953089;-22.71903935;4.363894322;9.720803300000002;7.666666;-25.26337274;-18.62816299;-47.74491761;-6.638858681;-3.3126483330000003
-9.281895835;-17.2497708;29.39174808;25.85447465;-12.999999;-42.72414279;16.29331952;21.24583488;-13.88120496;9.856761575
-48.54212117;2.7027129989999996;18.42465992;-5.254767313;-43.333334;-42.83925422;5.49691528;-5.060689538;25.43135945;-1.626018499
8.172058515;-1.3490737780000002;36.19859712;-28.34577168;-19.999999;-30.98322362;24.43507679;17.18517496;-31.8360321;7.2655882510000005
4.369833684;10.66729869;8.373821134;4.379185313;34.999999;-18.68471543;31.33273731;48.69677205;23.52359526;-37.72427179
2.953428428;42.40727788;-20.34093795;27.406081;-49.0;-19.01005675;33.61557084;68.66905272;-4.580496751;-2.6460956469999997
-27.00000018;-5.961362319;0.09795508800000001;-3.0618560830000003;33.333334;-37.71130561;23.79520216;10.36201402;9.448737772000001;-3.5555789669999998
-7.853293987000001;19.91626592;6.026845582000001;21.82550237;40.666666;-13.85134274;27.51275151;65.08511228;16.48017903;0.8918621309999999
-1.7040735759999999;25.45810584;-6.026845582000001;56.83165293;-38.999999;9.942516842;17.48517489;42.81522635;-28.53110476;10.98366648
-35.41731105;17.827327899999997;28.445090399999998;-2.978949977;36.333332;30.85715034;-3.6932080689999998;-0.818544575;22.273075100000003;4.73888149
-17.46669362;15.09613119;24.07273509;-9.620516801;-64.666666;-7.957416208;-39.09563977;-14.29493894;-9.76882163;8.05538617
-13.76875693;8.791562687999999;-40.36352653;17.31136146;10.666667;1.850427356;38.23849658;35.98874058;-1.239187059;18.45534906
-41.9021976;1.927714671;19.8326468;35.8210975;4.666666;9.125871106;21.03182407;35.05648979;-14.82484887;-12.62191234
-24.02253879;16.94370953;-2.357748925;33.97979099;43.000001;17.64992196;-2.3133250530000002;22.87017584;26.9005652;-23.42340215
17.77325832;6.400136446;19.35145492;1.1015244709999998;53.666666000000006;-9.316287202;30.97644246;19.32306205;-15.73287033;26.71899237
9.142021086;8.968985534;0.865613755;39.59138967;-73.333334;1.176471436;8.744882829;46.71588519;-4.632707371;20.00416823
-6.402719257999999;23.257357199999998;-6.97793544;-8.220731434;-3.333332;8.139815766;1.356979065;-2.77758374;-4.543463785;-2.34834334
-1.249406869;6.639156647;24.48786706;-57.74134545;58.33333199999999;43.58047352;-43.6797169;-63.44664514;13.22753503;13.88760507
9.285651142;-44.34503712;-19.24303667;-39.09656422;-59.33333199999999;-13.64961833;-1.9277145880000002;-18.39295518;3.7524268089999997;-1.519470013
-26.21488731;-59.36800205;1.646628;-32.88536796;43.333332;-16.35105032;-35.18116318;-69.40769008;6.018981987;-32.90611344
-63.09126483;-40.37036744;-37.89062672;-5.951928426;11.000001;-22.30742382;18.98461865;-15.41140471;1.119643685;38.19919635
66.21966715;-30.64284846;18.21452905;56.78320539;-19.666667;-33.73645937;26.95463977;45.41713634;-16.35481328;-10.27160577
29.64184796;-31.80482528;-11.70725363;8.376627646000001;-1.333333;-62.19396114;-14.08451774;-0.187410037;-4.5225534430000005;-8.175467071
22.47096499;-2.768177152;26.42299186;7.3720036129999995;-28.333334000000004;-26.26425832;-18.80688261;22.03682204;5.34268498;-1.1816847590000001
19.28607528;16.32879781;29.12371233;-42.69153481;5.6666669999999995;12.57470937;-27.78475118;-16.79581723;-12.09461097;18.12358179
