# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-MP
# prediction_type;rolling
# method; Part-GFS_te(n_components=15)
"IP-MP";"HStartsACT";"ExrateGBP";"Unum.LPT";"ExrateNZD";"HStartsWA";"Cap.IntPro";"HCE.ITA";"Cons.PurVeh";"ResInv";"HSexfinNum";"HStartsNT";"Gov.NatLoc";"HStartsTotal";"HCE.TelEqu";"ExrateCNY"
-18.85165614;18.74870765;36.8884204;8.373821134;2.813349754;48.69677205;5.147378854;-7.292532855;6.039922582;-10.98815961;47.11136125;0.764088255;2.947443808;47.11136125;0;1.94839428
-1.073826148;-29.62803933;2.346217667;-20.34093795;16.36066342;68.66905272;-13.96923883;14.58307122;-3.008561192;-4.086672245;21.18582211;31.54704769;5.946269274;46.44667058;18.07979842;11.7161848
0.537273419;1.270514567;-25.18053378;0.097955088;7.318710156;10.36201402;19.84776815;-13.02553345;8.152456106;16.57517909;-15.49937131;9.756581319;-1.756350943;-7.581628776;-18.49110951;-2.857290797
5.333412348;78.10986092;-2.622959909;6.026845582;-3.666596857;65.08511228;2.116407054;-9.270214359;19.17006151;14.92970358;19.1335757;24.69508017;-3.268046524;24.31921055;0.82262218;-5.241507274
3.166243445;24.1270677;-16.65788082;-6.026845582;3.495473859;42.81522635;17.80364804;-2.334784421;-22.95387351;5.654603638;33.81956627;64.42462295;-3.784800836;38.49941927;-3.29941028;0.724069467
-17.73292387;53.69898743;-31.55203672;28.4450904;-18.16902822;-0.818544575;40.52579465;13.84075533;49.00959438;18.50590553;10.55823618;82.81462647;19.67136532;15.50709959;2.059083349;-20.5630097
14.56668042;-51.73899984;66.60396223;24.07273509;-3.277232601;-14.29493894;23.25592592;1.702225445;-11.94846533;21.97285074;-4.989582778;40.43844666;-8.652854283;-2.392283;2.071896178;-3.283136374
16.60419967;19.55485731;15.2866374;-40.36352653;-2.223373825;35.98874058;5.767790189;-0.01344278;-16.16381534;9.692177741;12.79757975;-5.708557561;6.393872886;23.03639513;-0.829443608;7.70284771
0;53.5095197;-21.24444727;19.8326468;-16.1190955;35.05648979;9.017419885;6.386536532;-2.326339352;8.235585031;22.20612752;34.22233399;-11.2406125;22.83788502;-3.732957855;-4.582213877
-1.017812254;-23.62258376;1.378174983;-2.357748925;-19.51081391;22.87017584;-0.622568219;-3.484164059;5.662900244;18.14900717;2.37973508;-33.40182096;0.216292666;10.10562873;0.81167592;-8.853872836
15.49225487;5.718467644;2.979751266;19.35145492;-0.80588422;19.32306205;3.926665478;5.145773734;10.84213871;3.385937878;30.07964686;31.89095979;3.840453272;26.90914797;1.668390543;0.553527929
-11.43645333;60.23830102;24.07867671;0.865613755;12.90662495;46.71588519;13.54691007;-4.587805726;0;12.19533033;30.56576559;17.40209642;2.938112063;30.83621747;5.019221013;188.5559409
2.012582862;12.26426096;-0.083866234;-6.97793544;-4.054288368;-2.77758374;4.153312963;9.48781441;0.248678901;28.56718198;1.069066363;21.51245563;4.116283707;3.351648874;-4.17976635;7.138425975
4.987595792;-67.70532632;1.506908438;24.48786706;-1.36422826;-63.44664514;20.51731776;-11.17467193;-2.243695506;1.712591526;-43.56879882;-33.65131819;2.050417196;-52.44706316;0;3.486283855
-7.000178654;-22.79736984;2.996892271;-19.24303667;-5.944003174;-18.39295518;3.350415121;-3.892385182;29.3931107;0.110238391;-34.96908981;-86.3733517;-2.487690758;-28.87210469;5.369208133;8.157054049
-12.81339539;-95.46721514;-14.46822482;1.646628;-17.89730743;-69.40769008;7.346395658;6.67290819;51.57909318;-15.62215681;-53.39371101;47.16471088;2.407164114;-52.57236295;-5.369208133;-13.83246892
4.145114814;-11.47306184;-15.75593727;-37.89062672;-30.48798275;-15.41140471;19.36004928;7.106254052;4.063011063;-15.72037824;-11.17411801;41.4432835;16.13160014;0.208806617;-0.821355525;-17.82449385
0;51.44360656;24.095482;18.21452905;21.87724235;45.41713634;13.132708;-9.334672072;-59.37608702;2.969134773;17.69490555;29.00599239;-8.44243017;29.30782995;0.821355525;15.7775792
8.668280581;30.3735603;6.266883048;-11.70725363;3.046562227;-0.187410037;6.820710075;3.781257058;27.62840958;-23.89133469;-4.488360191;11.91070562;12.5365057;7.181546981;0;0.488107787
15.33892331;-10.73567342;15.10431894;26.42299186;-4.047608194;22.03682204;13.14253283;9.958534948;13.13004619;-13.28134774;6.800945763;-44.27336106;9.203463598;8.687988549;-4.132268155;7.314058234
-22.46379362;-28.25891025;12.59967364;29.12371233;9.623298212;-16.79581723;6.177117411;-29.63592347;12.71271362;-1.365743949;-19.0642992;-84.32540508;4.123824604;-18.359802;4.132268155;14.73105623
33.94783597;62.18280631;-10.47638526;2.839480375;-8.987049588;3.316463033;13.44534538;13.18425667;8.323061003;1.690234922;11.4716614;30.69877252;-3.301624932;36.97314451;0;-3.704248136
-7.13879745;-56.30034737;-19.63917347;11.78898566;-1.072781651;7.375874436;10.79525789;-0.018511234;0.602258583;9.487624269;14.8595667;40.68544682;2.782904616;-16.77715745;-2.082253531;6.872617496
-20.18890014;13.01065068;-1.895078023;-13.97766271;-2.997777438;21.95451662;-1.333581528;-4.457091389;24.50936686;22.65918152;11.58272717;-9.790013964;2.925653026;11.47194748;2.499572296;-12.89950397
6.015150946;-53.84028833;-11.44797297;-7.466117606;-3.800106255;-15.57235297;13.2834684;6.629207962;21.84529957;16.41977818;2.72760194;40.31644907;1.68947088;5.107405585;-0.417318765;-6.435206484
1.489759636;3.786114419;-10.36674402;-16.31154482;10.54594666;-2.464203964;-9.002194828;8.851586571;27.6090585;16.0483203;0.050806554;-30.1397749;6.297968403;-5.464937835;0.416883831;-16.00600628
-2.486024161;2.629117409;-41.68884425;-21.07614539;-7.889242802;-1.76217364;11.72086027;-7.200420261;32.95227654;31.86845285;-0.330358012;9.546992525;4.477337412;-5.947589154;0.41558265;-31.08428086
