# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;UrateLabForce
# prediction_type;rolling
# method; Part-GFS_te(n_components=12)
"UrateLabForce";"Cap.BioRes";"Cons.Edu";"IP.TCO";"HStartsTotal";"HStartsWA";"Unum.LFT";"HStartsNT";"HSexfinVal";"IP.NMM";"EXrateKRW";"SPASXAllOrds";"Credit.Bus"
10.666667;1.850427356;50.41402609;-13.34550908;23.03639513;35.98874058;-2.186716951;-5.708557561;19.04555608;26.59206804;7.807331038;33.07151311;3.261768232
4.666666;9.125871106;-22.68508461;25.21707463;22.83788502;35.05648979;-4.341417086;34.22233399;20.71224457;18.55231534;-0.763000761;28.27086648;0.525756033
43.000001;17.64992196;6.365759972;-13.38059456;10.10562873;22.87017584;3.378843004;-33.40182096;24.33379652;-24.72527735;-8.1142361;44.93375673;-2.24414765
53.666666;-9.316287202;9.439735984;-8.072267403;26.90914797;19.32306205;-1.422765728;31.89095979;37.13648994;14.65812867;-1.112471126;34.83921712;3.244761628
-73.333334;1.176471436;-25.13749442;46.54960955;30.83621747;46.71588519;-16.15279513;17.40209642;36.14629935;-9.712161483;26.05987841;15.50447483;-0.993156117
-3.333332;8.139815766;28.89771396;-22.59804086;3.351648874;-2.77758374;-23.4842729;21.51245563;9.323164234;4.278115647;8.077317022;-25.80237895;4.430066072
58.333332;43.58047352;5.461871322;-8.814627413;-52.44706316;-63.44664514;-24.63059194;-33.65131819;-39.09013136;6.033296885;4.929039947;4.995406506;2.223045416
-59.333332;-13.64961833;-14.42150445;5.688797492;-28.87210469;-18.39295518;-18.0760705;-86.3733517;-31.7968135;5.35323975;7.995699294;-22.78648549;-0.659249624
43.333332;-16.35105032;-2.900551661;8.281869345;-52.57236295;-69.40769008;-12.10546308;47.16471088;-43.10767357;-13.21441491;-15.86063293;-14.72508469;-0.780222856
11.000001;-22.30742382;18.45061888;4.685564145;0.208806617;-15.41140471;-7.811053153;41.4432835;2.673243142;-22.61198518;-25.54240457;29.34150995;5.325916098
-19.666667;-33.73645937;1.27520033;8.020318818;29.30782995;45.41713634;-2.770307341;29.00599239;11.48696028;-3.896134699;20.74487737;19.14444448;1.426362645
-1.333333;-62.19396114;4.394420885;-36.12411726;7.181546981;-0.187410037;5.325668349;11.91070562;-1.852834626;3.249408609;2.297432735;3.144948801;7.603015578
-28.333334;-26.26425832;-8.913391938;-6.57188934;8.687988549;22.03682204;-3.828199059;-44.27336106;13.63021657;8.960374676;13.98054287;22.27833912;0.641882787
5.666667;12.57470937;-4.111189598;-8.93392804;-18.359802;-16.79581723;-3.887385671;-84.32540508;-13.31351569;-31.59536453;19.09192803;1.22679642;-5.733355213
-10.333333;67.4757632;12.80229756;18.5361349;36.97314451;3.316463033;8.824371483;30.69877252;13.38722244;3.410080329;10.24292378;-5.048596586;-3.13194655
-1.666667;-31.96262055;10.09932901;-5.427491682;-16.77715745;7.375874436;-0.369254144;40.68544682;23.85135049;6.734165786;14.40730015;24.40554539;-1.867876775
16.666666;-8.58709185;13.15089569;7.578034497;11.47194748;21.95451662;4.193726222;-9.790013964;28.177318;11.19414617;6.165137367;7.331113595;-1.998859476
-43.999999;9.294430672;-0.48981026;20.28132322;5.107405585;-15.57235297;-5.412509493;40.31644907;9.970747088;33.01483864;1.130246895;27.97380427;3.714189012
24;33.21127584;4.732959343;-12.42335881;-5.464937835;-2.464203964;-3.832810534;-30.1397749;15.51482666;-15.85573436;-10.55903723;13.59981729;6.898308793
24.999999;-39.62281115;10.31389847;8.324962298;-5.947589154;-1.76217364;-14.9319585;9.546992525;8.439612613;9.831524106;101.8936624;-28.07037562;-3.762561568
-16.333332;-7.246575002;-5.294494402;-9.588786415;-1.628554648;6.952284165;-2.061269949;5.248435223;-2.766939902;-1.215806407;73.3306779;28.23339638;-3.206802135
17.999999;19.27223756;-0.957756572;16.32879781;15.86697322;34.14371088;-3.899543491;3.707162735;21.12348655;-32.32161297;-68.05581479;2.358966422;-3.061900579
15.666667;54.630214;4.766013831;8.813576391;-32.09840412;-41.76202141;3.600924544;14.85005309;-14.43904771;29.26583034;-39.88021656;-18.79416711;5.654082477
-55.333333;-32.9299781;7.974131236;-10.23381628;4.512247776;8.999397279;-30.42701887;42.78369478;23.32848898;8.498043445;-0.961834087;23.08231452;-1.227915073
4.666666;-0.660611215;2.645074939;-0.610221324;27.02585186;11.63583667;-19.01674932;44.12014849;39.28008225;1.797755835;-12.13598339;23.89648985;-2.059704874
12;23.12039956;1.972390584;-25.20518713;30.55883528;18.25257914;-13.94367184;28.96818678;44.03820021;47.84332315;7.683928953;10.35792748;-0.551444011
45.000001;55.28026472;8.050912909;3.883525651;5.110145119;3.750895742;-7.035118333;39.50076017;15.42928782;-89.39006851;3.585448534;-5.265155561;-2.206302548
-6.666668;-29.89410366;2.179492572;-7.805125689;30.51628726;31.02845309;-5.351804;-48.92563243;37.13043925;44.52516567;-14.67363831;10.20212862;1.468464
-16.666666;4.078695208;-1.216487532;37.38696486;-16.5932278;-7.42575605;-7.20184787;9.158649314;-14.47768562;74.01517728;-31.29262268;12.29157462;-2.255961265
31.666667;28.52361108;-1.992772302;-2.199455679;-40.31292663;-55.41626374;-17.57254095;-100.94448;-64.00003887;-2.473724644;-22.40227036;0.78088358;3.402423778
10;46.81320675;-7.086735546;-3.423126857;9.963458626;26.92117746;-13.88882289;-26.93665854;-14.82999564;-1.990053856;-15.89670756;14.15924452;3.046734405
-113.000001;-18.17378253;15.88250104;-8.791562688;17.38799428;-16.04117616;11.51809433;-38.85801712;5.995979006;-43.14295834;5.413171587;-5.835780477;-3.343089975
77.666668;6.974024729;1.321691077;-32.05153761;11.52217444;22.49759472;8.847772243;-16.49718337;42.96064841;-17.6039764;16.03968482;3.404883502;5.164049259
69.333332;24.8884092;3.814615012;4.897111806;42.36508029;35.91634717;26.02612413;53.51780632;61.35633776;26.39553909;-1.717464146;14.24074737;-8.612669963
-83.999999;56.18713465;11.41181692;-0.664268074;11.55661138;-3.41396098;11.65104844;19.76153971;35.6059235;-52.17224598;-0.672137141;-22.01146794;-4.763030934
9.333333;-13.53281296;9.857865797;-1.109570753;-0.34564708;-7.757274927;5.413656014;-6.36055805;13.24758769;95.40193459;-0.284085913;14.32372854;4.618729451
-11.333333;-15.73834053;-7.085100023;0;7.006757302;11.61166065;-16.16677544;-4.29726604;10.6625762;7.250953837;13.45640524;12.18463149;-2.95210082
-21.000001;-24.60249871;-1.323707586;15.26070639;-4.707222803;-11.87068607;-19.66422117;-25.26373378;-13.73786441;11.33487885;3.656784755;-13.58391814;24.78867108
56.000001;-82.16949571;0.18076373;-6.686594098;-8.774316222;-7.4976314;-12.70408403;-67.9738191;-7.64853719;3.708021919;-17.29059419;-32.03002218;-19.21270566
6.666666;-84.89041113;0.240891305;4.971693293;-4.532272995;-3.757764109;-6.506623953;0;6.296364249;12.7138966;8.773239337;-1.725992724;-8.917178587
24.666667;-1.403510212;4.549585114;-23.90091396;23.00940781;25.63353377;7.507360369;60.61995926;30.3273274;-25.84520472;26.60221819;-19.74646659;6.879181557
-106;75.38154324;4.557273532;-22.51473489;11.21865579;27.42908397;-4.166550434;105.1860182;31.72016156;-12.10013619;30.72240867;17.69132351;-4.451068586
22.666667;138.8086049;3.57380627;32.20262044;20.415218;12.9741103;-9.955026854;-59.46410965;27.42767938;35.2547478;-5.744917452;23.2748403;-7.803429728
31.333333;16.92095188;2.963622186;1.776793593;-6.073774779;14.71379273;-17.14170289;31.15848333;-12.33229808;-6.349339663;47.33510521;12.38507252;15.67762437
-27.66667;11.27930834;6.60317873;-6.478778886;-50.810365;-37.23395596;-16.74753778;28.90577651;-45.64696906;-0.915332207;12.45600911;11.62013356;-2.239432266
34.33334;1.14887585;1.874870274;-11.65463763;-10.73997277;-10.00405095;-4.198289268;11.81769849;17.63633732;13.51479903;-32.01135901;12.6025415;2.744678895
-6;-12.82285615;-1.078397248;-7.72631572;3.422121352;27.97957146;-1.174054296;70.05564186;10.40605942;-2.220994046;-3.493188154;14.65108063;2.610743252
43.66666;-30.34241002;0.170466655;-21.86336502;8.032095144;9.187150855;-24.91387489;12.27163911;15.78957249;-9.921590946;0.987682993;35.45877646;-0.871408678
19.66667;-3.422480772;4.069556086;-27.65065672;28.81384916;21.00929126;1.106797761;-14.72262722;31.70438789;14.35131507;-13.60799894;19.27317488;0.613212055
-12.33333;19.7001571;2.74607033;-24.55096538;2.846069487;9.38961093;-1.715053989;32.56514486;-11.79658064;46.91737583;-8.220067511;-3.914345358;3.505226873
-36.00001;52.79858916;4.608921679;20.78749676;9.298259176;18.68640562;-6.315825786;57.13456336;18.59124864;-17.62046645;3.646788868;34.6956457;0.081225673
-24.33332;-10.89985698;2.531654021;-30.57920239;13.83689527;16.00600732;9.276820284;14.0907211;22.24731459;19.96422315;-11.08368245;10.41676432;0.93798862
16.66666;-10.07046196;-1.53909768;14.31792083;-1.953874647;24.19588283;-0.604686363;-10.37522142;8.665341423;17.15365268;-26.65438629;31.97959326;2.724055788
22.66666;-13.05298161;3.12694454;-6.808675028;16.74376204;17.53529888;-19.8864427;-11.05151699;21.82653457;-4.880398412;0.420994568;9.781206352;0.252566738
27.66668;-15.92250016;1.527135752;-25.70097561;9.621278128;-12.578606;-2.36387349;-29.90494379;2.299096065;1.13154248;5.962114686;-1.670443056;-6.21738054
-64.33334;-56.61606889;2.874783545;21.38593916;-11.37339441;-36.6562881;-7.099991787;-69.02322181;-13.08778384;-7.604791795;3.808548414;33.1465408;1.685827422
40;-14.28723304;12.55589188;3.742380663;-3.241584498;-10.86335268;-6.176536619;-20.50383135;21.40586428;15.43720988;6.45189877;25.74583947;5.037146937
3.33333;24.44944242;-3.841882044;39.00874021;16.92626193;25.91889331;-20.7999757;4.025528776;42.91927876;-10.85700716;16.19251119;27.68038635;3.313958383
-0.66666;63.54538146;2.845486904;-2.084695272;-11.47205524;-17.57757631;-10.75702065;16.99046656;-2.838613441;8.263204648;8.281113077;4.356673473;1.882626331
8.66666;-15.47044576;3.866783868;-21.7430241;0.578735981;-19.95094356;8.908683433;-19.40091912;-8.941989509;7.366690714;17.64238733;16.01847603;0.543007757
-15.66666;-6.524099775;10.11542255;5.479537743;-15.20050921;-13.41721315;-26.59563929;-69.66460886;-22.89364676;7.233470173;25.58885863;-66.03702466;-4.617772088
