# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Unum-LPT
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=2)
# prediction_type; rolling
Unum-LPT;Imports;Cons-Final
16.69539192;-1.793193953;4.506666313
-4.699432064;9.516280621;9.297643731
25.711119699999998;-5.366970802;5.490534674
12.70355362;-2.693839628;-5.433982251000001
11.08587198;0.9449089009999999;8.458177366000001
12.21930807;-24.89290348;2.854938419
-15.30241246;10.33960374;-0.738214853
3.574203537;-10.37547657;1.369887888
-16.27767658;19.46481319;2.157544359
21.51925687;9.321597117;5.946772434
7.20091454;19.79892976;4.000278617
5.316870484;8.580850016;4.044139922
37.61157986;7.791154354;-0.030750476000000002
-78.73986294;27.34495973;6.237628784
34.62022661;43.66793099;5.83933172
9.781014419;19.97302524;8.097109374
-10.37794048;12.69568361;3.26973897
2.38237762;5.562136829;3.637550973
-14.388735999999998;-10.05869347;2.867659717
14.98211964;2.443878646;3.974845375
4.363894322;-26.77852246;2.542577481
29.39174808;14.79719398;0.372784739
18.42465992;-20.81119527;-2.185534343
36.19859712;-2.96364465;1.1304158579999999
8.373821134;1.136511161;1.379519138
-20.34093795;10.06070035;5.127280914
0.09795508800000001;12.04104296;0.414780031
6.026845582000001;-6.743945126;3.932789768
-6.026845582000001;15.81714586;3.518764664
28.445090399999998;8.218011471;0.766587855
24.07273509;8.83068689;1.748354055
-40.36352653;-5.780347573999999;0.01925493
19.8326468;6.693850682999999;3.405059099
-2.357748925;10.55802874;-0.450807585
19.35145492;0.3553187;6.942329285
0.865613755;17.71507208;2.300040988
-6.97793544;15.25025863;2.390868219
24.48786706;24.44219341;7.740457104
-19.24303667;19.03869764;2.920979076
1.646628;4.503545989;4.479523371
-37.89062672;-3.825688405;4.762130236
18.21452905;0.859409258;0.688295184
-11.70725363;6.108649365;4.2691112460000005
26.42299186;10.91291319;3.716175479
29.12371233;11.30433106;2.694262505
2.839480375;0.765029878;0.874654667
11.78898566;17.17101697;2.963001797
-13.97766271;6.023407657000001;3.919078325
-7.466117606;20.31131047;6.368114186000001
-16.31154482;7.859213887999999;6.075749725
-21.07614539;-1.0170511009999998;4.8801669610000005
-23.69329125;17.1916628;0.650935864
-7.892108406;1.274730288;6.2742876679999995
10.77604303;-0.243174145;7.492349327
16.14484738;1.471088727;3.977668252
-7.147190773999999;13.567273499999999;7.333887197999999
-5.279360256;7.481446761;3.336815966
39.63098928;19.94478404;3.772937053
-38.21002864;5.685452728;5.150887522
40.52390762;15.7707353;1.259151845
-34.79678253;2.8920473510000004;3.200261675
-17.04411095;-0.327039853;4.533574125
0.6803548229999999;-12.32986972;1.8168388969999998
37.60286459;-9.573798354;3.9823652000000003
52.52760103;-5.567997107;2.9287036910000004
-22.97281963;0.622507664;1.260611179
10.53332074;5.5593984370000005;2.870532357
-20.84574212;18.54177734;4.857811753
-6.026639286;13.21273884;6.665551306
20.01668387;5.824293212000001;5.301534301
-4.252749035;27.98940961;1.737539097
-29.15649005;2.58424676;1.9015603319999999
4.485042041;3.8079691189999996;4.3455869830000005
-7.146986202999999;12.12357386;5.175816747
5.13054349;16.81362854;8.216166005
2.540803724;21.77059699;6.119111563
-12.14766976;11.14763914;3.9008530689999996
20.53082192;6.0004075420000005;5.303823523
-16.23259386;13.81432253;3.829376698
-0.17817381100000002;9.4617894;0.233313997
4.694993643;10.03976906;5.404922827999999
-2.119210255;-1.062527862;2.754253805
0.353982236;10.888818800000001;2.154680085
8.835788549;7.786055951;3.423062252
4.046090756;14.91774835;4.806048562
-25.09656876;-4.596514838;3.701804759
-24.54065208;20.13368552;5.3097325
22.52921937;16.91294799;8.382409828
-9.554077567;8.313001868999999;3.575477029
22.62861006;10.97413963;5.4694901929999995
17.699699399999997;12.37092721;5.965596282000001
-20.81671404;18.13184745;1.83758818
6.825650476;19.74533227;-2.100186002
-14.86294519;-0.154014752;-1.226324483
12.04044166;-35.48971924;-1.0979664740000001
51.73833456;-31.21559031;0.8875436309999999
-9.602979739;-0.091010125;3.962386861
-4.083710777;17.23908629;0.786528331
2.40722893;28.95041019;4.07393607
6.900141361;14.92628261;1.351573579
0.550044208;13.82074851;5.555316099999999
19.76277851;-5.4240496789999995;3.5125790460000004
-3.679049793;16.21461854;4.2545766789999995
-3.4848706789999997;7.81189581;2.603698419
-17.8948547;14.65193895;3.0555855710000004
24.68490835;19.44126636;1.582090143
-14.47225628;1.163655662;1.03424264
7.453870402000001;9.858233364;5.179941135
21.56277182;-0.59946629;1.688684422
-42.02399582;1.0596032690000001;1.7450118680000002
22.51153699;0.948289079;1.224275362
20.95260448;-13.10770729;1.210988774
-13.96978989;11.07502427;1.359660155
14.97481561;-5.833613616;3.215747092
-1.940530263;-1.9922494919999998;2.327372415
15.82127121;-9.361639652000001;2.168280707
6.389143995;11.30357468;2.49262585
41.27770364;-5.089159385;2.1192323180000003
14.30988007;-7.230196721;3.21746141
