# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;10yrNSWT-bond
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"10yrNSWT-bond";"Cons.Hea";"Emp.TotalPer";"ExrateCNY"
-0.65;10.67093579;1.348158909;-16.22247903
-0.426666666;-5.862772807;0.908897019;-13.25688514
0.1;12.13793488;1.68889902;12.40721597
-0.47;8.389624273;1.333770754;-16.39677962
-0.41;10.65620397;0.831940701;11.49853022
-0.083333334;7.073736771;1.223611719;-8.068243322
0.303333334;4.780134756;1.816778289;-2.042231082
-0.063333334;0.520813462;0.436617076;-28.43325275
0.493333334;1.466882231;0.231504947;-30.00409674
0.133333333;3.704292452;0.048843173;0.526215202
-0.173333333;7.959568438;1.366351782;-4.101220094
-0.333333334;2.775328524;1.152598482;21.63387906
-0.34;2.317656563;1.10204181;-14.09348203
-0.313333333;6.557048258;1.316157987;-29.35690396
