# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;IP-Man
# prediction_type;rolling
# method; Part-GFS_te(n_components=10)
"IP-Man";"HStartsACT";"HStartsVIC";"IP.MP";"Cons.CloFoo";"BusInv";"Unum.LPT";"Cons.InsFin";"COMMP";"IP.WPP";"Unum.LFT"
3.791497582;-67.70532632;-46.32255269;4.987595792;-1.161853326;14.44858574;24.48786706;6.043715233;13.22753503;16.71689399;-24.63059194
-3.315590328;-22.79736984;-41.0045643;-7.000178654;4.755076077;22.14066419;-19.24303667;-0.17141633;3.752426809;-9.419842544;-18.0760705
-5.748601935;-95.46721514;-53.08880148;-12.81339539;1.020734206;5.557769462;1.646628;-3.22773283;6.018981987;-2.307381759;-12.10546308
2.884627886;-11.47306184;-29.68845359;4.145114814;9.444795782;25.23900754;-37.89062672;-2.079502138;1.119643685;9.150725862;-7.811053153
3.81409326;51.44360656;48.55313748;0;1.118534207;-3.749393105;18.21452905;-3.271020791;-16.35481328;6.410393606;-2.770307341
6.588384238;30.3735603;21.3431826;8.668280581;5.546229666;0.023993042;-11.70725363;0.481426832;-4.522553443;10.9767766;5.325668349
8.314387104;-10.73567342;33.30033865;15.33892331;7.277338384;30.34520477;26.42299186;4.566507873;5.34268498;-4.354630877;-3.828199059
-9.248966968;-28.25891025;-28.11909517;-22.46379362;-2.290197608;7.709065216;29.12371233;6.179054432;-12.09461097;-1.880881209;-3.887385671
6.496662531;62.18280631;37.17880021;33.94783597;3.250582223;-4.298758338;2.839480375;7.842561751;9.768349433;-25.96207058;8.824371483
2.752304437;-56.30034737;-33.57806623;-7.13879745;-3.371482934;-0.022051324;11.78898566;7.650788938;-1.347287982;16.42266777;-0.369254144
-4.135591118;13.01065068;-0.699678222;-20.18890014;0.845538591;6.75665886;-13.97766271;7.024491541;15.98510786;1.285141668;4.193726222
5.504674029;-53.84028833;33.33297533;6.015150946;-1.329507192;44.79369486;-7.466117606;8.443164923;-7.379050397;0.641025778;-5.412509493
6.327815578;3.786114419;-0.164535703;1.489759636;5.172226628;-15.17218915;-16.31154482;9.463518847;4.626519546;-9.724952258;-3.832810534
1.343034278;2.629117409;3.685781317;-2.486024161;1.788645103;5.43953988;-21.07614539;5.580063738;6.174116179;-1.314709483;-14.9319585
0.44667788;-4.328435518;-1.770396449;17.56379705;-1.669152944;66.07378286;-23.69329125;6.662115892;-18.70773122;-20.60396348;-2.061269949
5.321586251;-29.03234633;3.397682824;1.429423796;11.77248007;-46.97221617;-7.892108406;7.653082472;12.86460699;31.32324074;-3.899543491
1.758244589;32.61136713;-15.98666766;-2.385218755;17.81096717;0.283949753;10.77604303;7.796810922;-8.657331446;-6.462176089;3.600924544
4.795697771;-0.938747223;-6.675343075;2.385218755;-3.902469978;8.666896531;16.14484738;9.335354274;-21.41536658;-18.32890402;-30.42701887
2.591801724;58.96593332;41.41885409;0.475341708;3.125015895;-8.818311315;-7.147190774;12.19701494;10.47929144;18.65450437;-19.01674932
-10.91175137;0.810208922;9.468653048;-2.860560463;0.44444449;17.95351076;-5.279360256;11.43941435;-6.779014204;-27.96928492;-13.94367184
1.325235889;31.13200282;-3.063597088;-8.706510593;9.329548999;3.388323405;39.63098928;9.186787684;31.92944545;8.632186529;-7.035118333
2.199015984;43.65389586;24.31861615;-15.45363527;5.602030697;44.95377047;-38.21002864;7.872883957;1.178205617;29.61878895;-5.351804
18.00947255;-9.373837019;-14.93656311;27.02070633;-10.0750079;-49.08486453;40.52390762;5.257641316;3.781029637;30.52586667;-7.20184787
