# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Unum-LPT
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_KernelPCA_fit_inverse_transform_True_kernel_rbf(alpha=1.0, coef0=1, copy_X=True, degree=3, eigen_solver='auto', fit_inverse_transform=True, gamma=None, kernel='rbf', kernel_params=None, max_iter=None, n_components=4, n_jobs=1, random_state=None, remove_zero_eig=False, tol=0)
# prediction_type; rolling
Unum-LPT;0;1;2;3
17.699699399999997;0.0;0.0;0.0;0.0654235789070351
-20.81671404;0.0;0.0;0.0;-0.03401810775375268
6.825650476;0.0;0.0;0.0;-0.0029057845510141603
-14.86294519;0.0;0.0;0.0;0.07614676149000658
12.04044166;0.0;0.0;0.0;-0.0326950002380402
51.73833456;0.0;0.0;0.0;0.0041928762524256
-9.602979739;0.0;0.0;0.0;0.033367025600023144
-4.083710777;0.0;0.0;0.0;0.031695684735221656
2.40722893;0.0;0.0;0.0;0.01776434253995209
6.900141361;0.0;0.0;0.0;-0.1003413822739485
0.550044208;0.0;0.0;0.0;0.07066685647558675
19.76277851;0.0;0.0;0.0;-0.012852281950933558
-3.679049793;0.0;0.0;0.0;-0.0019153643391066613
-3.4848706789999997;0.0;0.0;0.0;0.021040684214629186
-17.8948547;0.0;0.0;0.0;-0.14638975137662544
24.68490835;0.0;0.0;0.0;-0.024049184880399296
-14.47225628;0.0;0.0;0.0;-0.07683253954288223
7.453870402000001;0.0;0.0;0.0;-0.11128315545095299
21.56277182;0.0;0.0;0.0;0.03002666575435323
-42.02399582;0.0;0.0;0.0;-0.056220038057036334
22.51153699;0.0;0.0;0.0;0.02660865539862505
20.95260448;0.0;0.0;0.0;0.0731358926332566
-13.96978989;0.0;0.0;0.0;-0.0062495838952113985
14.97481561;0.0;0.0;0.0;0.1490286420537636
-1.940530263;0.0;0.0;0.0;-0.07488832932991116
15.82127121;0.0;0.0;0.0;0.06695261727883954
6.389143995;0.0;0.0;0.0;-0.036631258097241534
41.27770364;0.0;0.0;0.0;0.02820272469356352
14.30988007;0.0;0.0;0.0;0.010853307237727693
