# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HSexfinVal
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=7)
# prediction_type; rolling
HSexfinVal;HStartsNT;HStartsSA;Cons-PurVeh;Cap-MacEqu;HCE-DTA;COMMP;HStartsACT
11.09550276;17.75035263;-27.52798427;-17.13685898;20.69426976;-3.065863728;4.547003006000001;-23.67315266
8.73966356;-37.79032137;15.79388653;3.193139462;3.5059985410000003;0.821240339;-58.17157487;2.9075932389999997
-76.30424091;-36.07428713;-84.60645956;16.53424962;-14.37667364;0.7737238940000001;30.73715078;-49.96870042
-69.09729128;-73.89364128;-85.03983554;-67.6120002;-11.51278636;-6.467496806000001;-21.21169109;-61.73843515
66.66988287;28.88332325;47.29246598;-0.278067443;20.13626454;8.036736805;-3.250982505;95.66276844
21.81537257;37.71528301;16.30968154;2.219145775;6.3873612710000005;4.913313691;45.84032805;-47.51729549
21.65613463;-81.36042903;9.147143299;-91.96364995;80.05940278;-11.37118743;-32.27416387;10.53322378
7.888529461;-17.41632342;24.21467609;16.70460033;-41.50352081;12.35628318;6.687655164;-40.23239459
22.60551444;-11.68741819;-15.71079733;-55.03760409;30.19255839;-19.83916856;-11.03068445;43.76079148
56.51745417;-15.38651244;14.86572659;23.07616546;-11.98363298;16.22023601;14.68718619;63.12963412
67.17147485;6.666820994;57.67248569;14.90855792;38.49877921;-5.026610439;13.77477667;18.37157274
18.51344162;-21.50447064;-10.07391997;24.98702514;9.743043725;7.495178332;-2.376785697;-48.04553203
102.0718468;98.45322779;68.46000578;21.35114528;33.35508036;-7.126113332;-13.88613159;75.36241689
-17.69335676;50.33254736;11.59200082;8.595879522;-42.10061734;2.038691581;-16.23113099;-52.14021039
3.39885627;-40.45550251;8.96750875;48.29260941;62.15809402;1.1898220940000002;-6.139329782000001;-29.95600656
-24.39990987;65.31787278;-28.92701202;-2.4299770990000003;9.012832708;-7.199647682;16.81464875;-41.99819424
-55.13795777;-40.39036694;-33.34327715;19.03862315;5.07515871;2.728173209;28.19660941;-90.23184248
-45.75749787;-109.5555;-69.16473909;6.658284337;-22.16472295;0.580582454;-25.35893429;-53.76114095
4.62230514;39.61568314;18.89258906;0.761180058;-12.31716233;5.821654854;-4.323107211;60.11288122
64.22347306;22.20111383;52.43226614;57.73010931;-15.1479128;-2.2962971309999998;2.0118051980000002;106.3512777
-43.98303508;42.70719017;9.720803300000002;-7.978103807999999;-14.83629493;-5.2684492810000005;-6.638858681;-39.11437095
6.821868257999999;7.523732783;25.85447465;4.008942243;-1.51435026;-10.78123442;-13.88120496;-11.31908326
8.634008745;33.35264358;-5.254767313;-26.56958158;-16.22513451;21.98752745;25.43135945;17.36073367
12.03004248;-1.5267194869999998;-28.34577168;-62.13420564;-41.0292083;-26.84550154;-31.8360321;76.41123176
68.83741651;0.764088255;4.379185313;6.039922582000001;-3.587467993;-23.607299800000003;23.52359526;18.74870765
19.67126675;31.54704769;27.406081;-3.0085611919999997;-2.97873717;40.97801008;-4.580496751;-29.62803933
-13.01906573;9.756581319;-3.0618560830000003;8.152456106;-1.354845756;-10.1898655;9.448737772000001;1.270514567
26.62461704;24.69508017;21.82550237;19.17006151;12.65483398;2.7061292110000004;16.48017903;78.10986092
44.60723545;64.42462295;56.83165293;-22.95387351;-4.59375155;7.437768654;-28.53110476;24.1270677
24.60782703;82.81462647;-2.978949977;49.00959438;-15.34121851;2.515020886;22.273075100000003;53.69898743
-1.267908895;40.43844666;-9.620516801;-11.94846533;117.6287482;-23.26170722;-9.76882163;-51.73899984
19.04555608;-5.708557561;17.31136146;-16.16381534;-23.55591245;13.31122761;-1.239187059;19.55485731
20.71224457;34.22233399;35.8210975;-2.3263393519999997;-0.805755668;12.06006227;-14.82484887;53.509519700000006
24.33379652;-33.40182096;33.97979099;5.662900243999999;-3.181276258;-6.135544136;26.9005652;-23.62258376
37.13648994;31.89095979;1.1015244709999998;10.84213871;18.94046229;-4.595040967;-15.73287033;5.7184676439999995
36.14629935;17.40209642;39.59138967;0.0;35.23356462;-1.301871728;-4.632707371;60.23830102
9.323164234;21.51245563;-8.220731434;0.248678901;0.101419879;-0.65412239;-4.543463785;12.26426096
-39.09013136;-33.65131819;-57.74134545;-2.243695506;17.07243368;5.207528232;13.22753503;-67.70532632
-31.796813500000003;-86.3733517;-39.09656422;29.3931107;15.62661498;9.46392879;3.7524268089999997;-22.79736984
-43.10767357;47.16471088;-32.88536796;51.57909318;4.460494589;-8.389662719;6.018981987;-95.46721514
2.673243142;41.4432835;-5.951928426;4.063011063;21.14752452;-8.079932374;1.119643685;-11.47306184
11.48696028;29.00599239;56.78320539;-59.37608702;-14.27607748;4.34736529;-16.35481328;51.44360656
-1.852834626;11.91070562;8.376627646000001;27.62840958;-13.06445823;6.7499479860000005;-4.5225534430000005;30.3735603
13.63021657;-44.27336106;7.3720036129999995;13.13004619;63.759733499999996;-10.43687264;5.34268498;-10.73567342
-13.31351569;-84.32540508;-42.69153481;12.71271362;-3.012213642;-2.487969309;-12.09461097;-28.25891025
13.38722244;30.69877252;-4.396868787;8.323061003;-20.85270482;3.06591975;9.768349433;62.18280631
23.85135049;40.68544682;0.312482534;0.602258583;-0.297413578;3.729610485;-1.3472879819999999;-56.30034737
28.177318;-9.790013964;16.86391499;24.50936686;-2.344547662;10.95093626;15.98510786;13.01065068
9.970747088;40.31644907;-2.7473815669999997;21.84529957;75.79703644;-15.22538734;-7.379050397;-53.84028833
