# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;EXrateKRW
# prediction_type;rolling
# method; Part-GFS_te(n_components=4)
"EXrateKRW";"HSexfinNum";"Gov.Nat";"EXrateIDR";"HStartsVIC"
-11.08368245;21.54928176;2.668455527;-16.33746982;20.36848054
-26.65438629;0.262069914;-0.532268874;-32.3484458;-9.053430181
0.420994568;17.64860981;11.2042336;2.655222538;11.99999999
5.962114686;-1.835091797;8.389792235;4.508452633;20.06783761
3.808548414;-14.83310909;9.796862449;10.31371683;-12.55322205
6.45189877;5.42478093;5.334747592;5.345705936;0.096669632
16.19251119;25.44502527;3.206502197;15.21192481;13.75678849
8.281113077;-8.740049037;-1.834288158;21.11001194;-6.03156543
17.64238733;-4.102600004;2.300509576;21.4151857;17.53824998
25.58885863;-30.79301815;5.358216345;5.218848924;4.520535801
41.39710797;-78.02118543;4.693630949;16.99091154;-71.8712981
-9.365330166;-23.67534607;24.65263125;-37.47162349;-32.23369674
-25.72006908;27.26640903;-0.871836341;-20.28882615;5.353068055
21.29433455;78.95715905;-9.110797128;3.120997478;45.41883019
18.78246868;31.29089297;-4.489575096;20.08549253;22.4262802
18.48561646;-8.295471796;2.885892924;15.6298351;0.135678443
11.64775625;-37.38029161;2.512391019;10.42603461;-20.01733629
-12.0308196;-70.10658768;6.865977016;-13.35948736;-33.77052602
-1.317076933;-28.68911611;11.61059307;-18.05063587;-16.90097334
18.51831232;-7.166827391;-0.385387424;13.82000506;8.126406254
14.48705909;7.681855604;10.77805122;28.26393302;15.58848035
4.854504847;-19.51203758;3.363719892;5.952624312;-11.16032848
8.640067497;5.483981236;3.39717916;11.29969031;8.602243785
-2.673646076;-1.532604513;-1.417130256;-9.093788746;-6.378557083
3.609585616;24.00151163;5.379906753;9.829149334;-2.986382275
11.90729655;-12.09618467;2.00463611;16.96501862;9.759557241
-9.860024281;0.879790559;9.298391783;-5.575439174;7.123460839
2.894123554;13.29252721;-17.90383775;17.78618372;-3.187698265
-17.6898032;3.653944497;1.483142559;2.0704327;6.691745749
4.416503583;17.50413966;4.980621022;2.391001041;11.42183557
-13.77994937;22.90057772;-2.26041075;-19.74922315;11.3668405
-35.904072;6.614409285;11.66765109;15.78299633;26.66484602
-13.82479023;9.053149958;2.018032993;33.24883464;-13.00312104
-2.8905921;-0.902171231;4.445144362;-11.29754111;-3.590539279
-3.107149501;-1.157001424;-3.927440675;14.44846709;0.863889012
-4.756632778;-5.939159736;1.872918053;-4.470143414;5.22195521
-8.299933043;4.434204433;-1.223039762;-14.79320842;11.41189898
