# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Cons-Hea
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=3)
# prediction_type; rolling
Cons-Hea;Cons-TraSer;IP-MP;ExrateJPY
-2.357360158;2.944141763;17.31336708;-56.0810178
38.20222363;2.6578170869999997;-3.0372203630000003;-2.7067103830000003
0.195312504;0.793913592;-6.764188859;-60.41539571
1.461811835;0.528401662;-11.32151047;-29.95758125
1.165615201;17.56253678;-12.96709983;-36.20431554
11.66151885;-13.36026569;26.14476212;-93.76554559
4.216977091;19.87670053;-2.476788099;42.60379346
8.85032647;-16.23558306;14.63577897;-11.18720254
8.837149331;12.23804823;8.296593722999999;0.69054241
-8.928338206;3.7488559319999997;5.82251911;4.929309572
10.53047653;14.65365327;18.08217471;-48.52692194
-1.959042206;5.714382898999999;0.552104988;-0.726506807
-2.327669952;-6.674767514;-17.47987774;34.99962622
33.65062459;30.31227182;9.117203811;26.72296958
-8.424876133;3.328729335;38.12407192;-3.6309252689999996
4.10948158;12.83067328;-0.5124920620000001;8.782539524
6.291520433;-10.84665157;-13.03046817;-5.46333036
-6.458430513;7.191694675;3.691522575;2.623286571
7.114975592;5.576497825;4.696727151;17.19677921
10.12097308;6.967713788999999;10.7492073;6.651222509
-0.560056097;11.34974259;-1.518028387;16.01953089
-10.13533498;5.054401343;-17.08997787;-9.281895835
18.6117389;0.40160645899999997;1.056803785;-48.54212117
5.062865759;15.93522743;12.46854196;8.172058515
2.5460593240000002;18.28351244;-18.85165614;4.369833684
9.95019501;6.215847201;-1.073826148;2.953428428
-31.67964105;5.942040396;0.537273419;-27.00000018
17.94307564;6.207173992;5.333412348;-7.853293987000001
21.31620888;-3.712733837;3.166243445;-1.7040735759999999
10.24672254;-3.568266303;-17.73292387;-35.41731105
2.574655769;11.30817358;14.56668042;-17.46669362
-0.642111972;-1.5710253669999998;16.60419967;-13.76875693
-1.072482544;7.107445931;0.0;-41.9021976
11.78111786;-5.014113635;-1.017812254;-24.02253879
12.9275165;-9.507489835;15.49225487;17.77325832
-9.604548273999999;21.16712374;-11.43645333;9.142021086
1.8571093459999999;-6.473735852000001;2.012582862;-6.402719257999999
5.384762242000001;7.317796092999999;4.987595792;-1.249406869
-6.828434859;11.46972411;-7.000178654;9.285651142
8.989142341;4.562167581000001;-12.81339539;-26.21488731
-9.333643266000001;-10.00667317;4.145114813999999;-63.09126483
1.1700946140000001;39.51097314;0.0;66.21966715
2.466605966;2.5501680230000003;8.668280581;29.64184796
6.1680456260000005;-0.299177276;15.33892331;22.47096499
-6.646473705;19.56594409;-22.46379362;19.28607528
-7.315593831;-8.934088967000001;33.94783597;3.315368077
11.53331998;2.614388392;-7.13879745;26.7885657
-14.89056998;-4.65968138;-20.18890014;12.982942199999998
18.25986214;9.551828691;6.015150946;-15.45204074
-2.693159475;-8.673993665;1.4897596359999998;-15.50894539
-13.74469531;5.515326856000001;-2.486024161;-9.886566797999999
-5.278514181999999;-1.154818557;17.56379705;4.45682738
6.2561683;-1.73850328;1.429423796;-0.9276442009999999
20.92513072;28.70873029;-2.385218755;-14.61241743
4.214030745;1.349073791;2.385218755;-47.866481799999995
11.55571365;8.923293300000001;0.475341708;4.981294883
10.85982747;-12.03299292;-2.860560463;23.12341066
-11.05077345;10.31710182;-8.706510592999999;-38.75879976
6.441566425;4.995135567;-15.45363527;-30.29558689
-13.83074129;15.50234043;27.02070633;0.300578628
3.422411709;5.615440842999999;-35.23665627;-25.707255399999998
20.36940422;6.026247724;3.1007907219999997;-8.244154763
-1.837394136;13.67859737;33.08485769;-12.46882965
22.26609835;27.57355604;-32.05657949;17.49598139
6.450823754;18.81814548;9.137453168;2.083282091
8.759267861;-12.37432012;17.19110481;-3.528611942
15.29896571;-5.673853997;25.605016600000003;16.98782559
-2.53660703;-3.088818438;0.450704273;27.91737391
4.415174723;19.45277954;-23.181457;-0.46385780200000004
16.11026423;18.85246549;8.500910264;-20.024995
-11.79626196;3.0075329660000003;20.04975487;13.67039518
15.83902649;-6.139257512;-7.175080275;18.58121225
13.713341;-29.23771493;23.71715455;32.87895047
-11.78317853;30.35178072;-7.3159651;-4.936832055
14.38234172;9.49451196;-13.24624351;12.45015594
9.801926881;22.09445139;4.908037037;14.28901776
4.835901025;-1.4981290919999999;-6.257110827999999;-20.06122229
8.163072639;7.987263295;-6.814474861;2.87943655
8.813644999;-1.566280937;8.163548652000001;8.66642849
-21.19301771;6.228658028;15.41192287;10.39233711
6.3782134489999995;5.6853749;-44.261631799999996;4.2597531889999996
-1.97345637;-0.5379960460000001;11.88441546;9.755998914
14.523505400000001;8.610118299;-4.237826573;10.12201333
7.648416579;-5.838228365;20.75393415;-4.067674975
3.902469978;19.05329184;18.01512582;-2.314165161
12.98209129;6.4055309000000005;11.01764567;12.88975726
-15.10599009;15.09613119;19.97358368;15.54555724
15.78894832;19.33198835;-9.658416922;9.192839812999999
3.566524;27.78122591;-20.04594805;29.53481483
7.1220985;11.98538729;24.90430737;-6.398224967999999
5.730579848;21.03790262;24.20250304;4.537111874
15.6930083;1.184406195;26.02841991;-22.980119100000003
-0.86682461;-8.969730555;5.638859902;19.36523636
11.04806202;19.28242174;2.094245622;-27.86233418
0.575125908;-22.45302608;-27.00080111;-153.4718111
-4.546817091;-10.29039772;-22.60055344;-5.0950716410000005
6.68667699;-16.52863924;-0.39428293;71.61440936
0.685388078;11.21201673;-23.14191708;18.74786684
10.4389666;-0.845964362;9.499672085;16.46117565
