# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HStartsNT
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=3, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
HStartsNT;0;1;2
17.75035263;-27.2453544703;168.615191656;3.98063344438
-37.79032137;-11.049414684;-86.1381681675;49.8170619474
-36.07428713;-224.702134401;57.7604541595;-14.2032653943
-73.89364128;-225.29930821;-54.724051992;42.2877016607
28.88332325;127.241813938;22.4278732132;15.3528823398
37.71528301;24.8429716441;195.319244313;-15.1561094132
-81.36042903;41.2993342469;-150.923851577;115.264772129
-17.41632342;-18.9166672678;-20.8284961921;-21.3522924081
-11.68741819;34.6813887723;-59.7331117032;13.713755182
-15.38651244;113.967958652;-6.48180904214;-1.65781089686
6.666820994;152.260795618;121.531446914;0.75150709683
-21.50447064;-16.7571025755;-37.5681031018;15.9559511997
98.45322779;250.581015689;-95.582019243;-36.0284068746
50.33254736;-65.0165794265;-64.8655610341;-104.543552568
-40.45550251;-51.6735621836;-63.5561570378;41.7017619086
65.31787278;-94.9509967259;-2.0012202516;-24.5855490984
-40.39036694;-233.033904262;87.8240086087;-51.0313412388
-109.5555;-208.819976912;-33.0658333944;36.3670145468
39.61568314;62.7626635095;-24.5578489636;-29.3580569674
22.20111383;168.03234219;49.8234228742;15.0339556908
42.70719017;-105.972996311;-4.10500775799;-19.9227440507
7.523732783;21.6820826024;-19.9011296185;17.2807090551
33.35264358;17.6877385014;106.668974343;-12.242090217
-1.526719487;41.8168069934;-17.9510918207;8.19097709674
0.764088255;120.776363092;4.70293055477;26.7607304797
31.54704769;107.480438379;-11.311665546;-35.3382219811
9.756581319;-17.9832910814;38.294055824;27.1374526839
24.69508017;91.2440688965;52.5332645818;27.7373975266
64.42462295;117.579921446;15.1805953309;-35.3843373913
82.81462647;55.506343343;106.328028208;-17.2601527528
40.43844666;-30.7173636911;25.7868288528;-50.0586163369
-5.708557561;56.2122350376;-12.7009444331;5.36884795482
34.22233399;73.6763913794;42.6392028617;6.0434724603
-33.40182096;5.95661340769;32.3563680907;19.7259615052
31.89095979;74.0508747355;-5.45331557059;14.2115837603
17.40209642;112.454863481;-129.845562604;-55.9470429364
21.51245563;5.3300948923;0.230249034859;-16.4812427596
-33.65131819;-172.865465905;-26.310587985;10.1731235022
-86.3733517;-114.54434328;-32.7924250057;8.48204738648
47.16471088;-176.463172297;56.3660568006;-8.01824442555
41.4432835;-29.5776515269;88.3774214751;8.5240136242
29.00599239;102.730396985;-76.615738593;-1.06343972762
11.91070562;8.44242206638;-12.1963236354;4.25155431069
-44.27336106;1.50510035201;-43.0771850367;12.1818584256
-84.32540508;-98.4170267861;-65.5593079749;16.7027881192
30.69877252;113.556026677;34.5083567822;-11.3037154207
40.68544682;-33.401269478;-32.3793338194;-34.8432275412
-9.790013964;14.7331194023;11.075009017;-3.53848896059
40.31644907;-15.9810994724;9.90505122887;-33.1152786913
-30.1397749;-12.4466708259;-9.14816863394;41.0999599637
9.546992525;-19.5716880989;-17.199305589;101.241933693
