# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HCE-TelEqu
# prediction_type;rolling
# method; Part-GFS_te(n_components=13)
"HCE-TelEqu";"IP.NMM";"Cons.Hea";"AveComp";"Cons.TraSer";"HCE.MV";"HCE.ParAcc";"Unum.LFT";"Cons.Final";"Cap.MacEqu";"HStartsQLD";"HCE.MaiRep";"Credit.Per";"EXrateIDR"
-3.29941028;34.91927903;21.31620888;4.460919613;-3.712733837;-6.402283882;1.11417183;12.28174328;3.518764664;-4.59375155;24.808892;-1.883339111;-2.311272048;2.356798962
2.059083349;-12.82161052;10.24672254;5.248899284;-3.568266303;9.25689011;-2.266254552;4.233206441;0.766587855;-15.34121851;27.83470544;0.627451109;5.252144519;-15.52817797
2.071896178;-1.95918759;2.574655769;5.423646276;11.30817358;-1.806563863;9.582796456;6.459935768;1.748354055;117.6287482;3.294156258;-0.628436893;0.980769449;-15.77877276
-0.829443608;26.59206804;-0.642111972;2.901366686;-1.571025367;7.243725848;-5.077184824;-2.186716951;0.01925493;-23.55591245;9.871270691;3.760794325;-4.596098061;4.678415718
-3.732957855;18.55231534;-1.072482544;4.026879647;7.107445931;-2.931659986;-5.59760044;-4.341417086;3.405059099;-0.805755668;13.04939841;-1.264649759;0.976418744;-1.21113394
0.81167592;-24.72527735;11.78111786;-2.00837242;-5.014113635;0.866319628;11.18590715;3.378843004;-0.450807585;-3.181276258;-4.771045097;-0.627396602;0.657059104;-8.010633982
1.668390543;14.65812867;12.9275165;1.38781021;-9.507489835;-11.3142873;-7.813638296;-1.422765728;6.942329285;18.94046229;29.64318883;1.843744299;2.978905068;0.285476401
5.019221013;-9.712161483;-9.604548274;7.712108311;21.16712374;8.931626368;3.325642903;-16.15279513;2.300040988;35.23356462;25.40628575;-2.470087483;4.561675281;31.10137359
-4.17976635;4.278115647;1.857109346;5.95359828;-6.473735852;-4.961867903;-1.112623175;-23.4842729;2.390868219;0.101419879;4.077164496;0.611147925;-3.635334574;12.902948
0;6.033296885;5.384762242;-7.455947464;7.317796093;6.487309108;-1.654792964;-24.63059194;7.740457104;17.07243368;-50.00392716;2.427877613;-13.36103031;11.34172378
5.369208133;5.35323975;-6.828434859;2.812291875;11.46972411;-2.663000128;3.848065946;-18.0760705;2.920979076;15.62661498;-35.31752887;-3.047391493;25.38637422;15.11760581
-5.369208133;-13.21441491;8.989142341;5.934276667;4.562167581;-5.754948309;-1.113906173;-12.10546308;4.479523371;4.460494589;-69.63291572;-1.211203865;-5.798947243;-7.243658714
-0.821355525;-22.61198518;-9.333643266;-0.829206792;-10.00667317;10.11504028;1.608681797;-7.811053153;4.762130236;21.14752452;0.861538795;1.815890299;3.736821493;-9.201473886
0.821355525;-3.896134699;1.170094614;6.948746174;39.51097314;-2.643268154;-0.570003659;-2.770307341;0.688295184;-14.27607748;40.72167051;2.99711331;-1.866170247;22.38289626
0;3.249408609;2.466605966;7.897945609;2.550168023;-5.889532944;-5.366271179;5.325668349;4.269111246;-13.06445823;-1.799256418;-0.635949379;-11.30208232;5.618508293
-4.132268155;8.960374676;6.168045626;3.142478127;-0.299177276;-0.92224943;-0.552468297;-3.828199059;3.716175479;63.7597335;-12.2319837;-1.208077623;5.835044616;13.26088292
4.132268155;-31.59536453;-6.646473705;4.210103552;19.56594409;0.614911728;0.52627686;-3.887385671;2.694262505;-3.012213642;-66.08695077;2.321891191;3.904410569;14.35692896
0;3.410080329;-7.315593831;8.332285524;-8.934088967;-7.767234343;4.882843488;8.824371483;0.874654667;-20.85270482;66.16361582;-2.942343718;9.07210996;-1.303876562
-2.082253531;6.734165786;11.53331998;3.488270538;2.614388392;5.249523434;1.05412478;-0.369254144;2.963001797;-0.297413578;0.459682104;-1.742922148;-12.08784201;8.11590804
2.499572296;11.19414617;-14.89056998;1.943597359;-4.65968138;-5.453856223;-6.991823509;4.193726222;3.919078325;-2.344547662;6.324167343;4.037525268;1.985681324;-4.576381631
-0.417318765;33.01483864;18.25986214;10.85249249;9.551828691;-3.793986951;4.841987749;-5.412509493;6.368114186;75.79703644;-16.85594011;-6.917307325;-1.961991694;0.359421428
0.416883831;-15.85573436;-2.693159475;-0.656882012;-8.673993665;16.05425496;-2.154159861;-3.832810534;6.075749725;-20.6141403;7.823544134;1.141908216;-1.364707676;61.79368907
0.41558265;9.831524106;-13.74469531;1.148836568;5.515326856;-17.29526569;-1.080347362;-14.9319585;4.880166961;4.518148213;-20.88772339;1.156900609;7.847323766;110.0233911
-0.416882029;-1.215806407;-5.278514182;0.859467257;-1.154818557;16.38211227;1.618343408;-2.061269949;0.650935864;18.00159781;-25.20535222;1.161946464;0.068909007;339.2129673
-3.333783952;-32.32161297;6.2561683;4.229400932;-1.73850328;-11.8684355;0;-3.899543491;6.274287668;-28.48580569;17.95179827;1.734518038;-0.639254095;26.21697912
-1.287938101;29.26583034;20.92513072;8.009879179;28.70873029;0.516897729;-0.5409061;3.600924544;7.492349327;3.050431391;-40.75664982;1.132805947;3.622512959;-11.10601412
-0.04469943;8.498043445;4.214030745;1.148231424;1.349073791;4.457937732;4.847811774;-30.42701887;3.977668252;-3.731475824;15.05288256;0.537500886;-0.614601914;-146.8264561
-8.338373515;1.797755835;11.55571365;1.420820438;8.9232933;1.747354692;-2.170719021;-19.01674932;7.333887198;4.106464133;35.54803008;-1.16292118;5.323823081;56.27977889
11.26397466;47.84332315;10.85982747;5.82752913;-12.03299292;-0.007873294;-3.202853951;-13.94367184;3.336815966;-8.791562688;18.35482774;-0.578831768;-8.970291822;-34.45076585
-13.0907387;-89.39006851;-11.05077345;0.504438152;10.31710182;4.620501432;3.197165012;-7.035118333;3.772937053;17.87064994;10.85437384;-1.68499545;0.04652267;-10.63025773
11.1920078;44.52516567;6.441566425;7.491215346;4.995135567;-9.264905008;-2.130497713;-5.351804;5.150887522;9.557880747;27.09798592;-14.19673424;-6.671237571;-27.41738501
4.14775473;74.01517728;-13.83074129;4.127065813;15.50234043;8.217504462;-3.735851038;-7.20184787;1.259151845;1.071812002;3.73296502;13.63768454;-4.727422549;4.410696559
