# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;Cons-RecCul
# prediction_type;rolling
# method; Part-GFS_te(n_components=9)
"Cons-RecCul";"ResInv";"Exports";"Cons.Com";"UrateLabForce";"Cons.CloFoo";"InvLevel";"Unum.LFT";"IP.PRM";"IP.NMM"
4.584577408;2.969134773;20.17124386;22.81505344;-19.666667;1.118534207;4.919616469;-2.770307341;-10.27160577;-3.896134699
6.736726843;-23.89133469;0.625505369;15.57243634;-1.333333;5.546229666;2.11114654;5.325668349;-8.175467071;3.249408609
10.29625024;-13.28134774;21.50922759;18.5242103;-28.333334;7.277338384;1.292868721;-3.828199059;-1.181684759;8.960374676
10.73361476;-1.365743949;9.356397461;10.66729883;5.666667;-2.290197608;2.659095953;-3.887385671;18.12358179;-31.59536453
4.553820275;1.690234922;-5.013141061;9.673990252;-10.333333;3.250582223;7.620325715;8.824371483;5.615440843;3.410080329
4.94205473;9.487624269;13.35931216;9.21209891;-1.666667;-3.371482934;7.04011889;-0.369254144;16.74493814;6.734165786
5.000065106;22.65918152;13.20638524;12.4147896;16.666666;0.845538591;2.140379187;4.193726222;15.38651233;11.19414617
10.62370923;16.41977818;44.45503925;19.87163561;-43.999999;-1.329507192;8.083696791;-5.412509493;-4.831810262;33.01483864
9.524711271;16.0483203;-19.09056554;-4.985163415;24;5.172226628;-2.990169741;-3.832810534;2.077926751;-15.85573436
5.955260274;31.86845285;-7.758341996;15.82247968;24.999999;1.788645103;0.577872598;-14.9319585;-1.730855146;9.831524106
-2.037135752;6.571612488;-4.821868358;4.171049265;-16.333332;-1.669152944;5.465025614;-2.061269949;-37.05005976;-1.215806407
2.812222499;6.317360682;12.74588335;10.64545941;17.999999;11.77248007;4.85223087;-3.899543491;6.418259457;-32.32161297
9.077628128;7.722625013;-1.266086343;14.09225375;15.666667;17.81096717;3.177818426;3.600924544;-7.94352346;29.26583034
6.684396649;8.714733016;7.96597607;14.92996273;-55.333333;-3.902469978;1.965357125;-30.42701887;6.818346909;8.498043445
10.42655027;6.483580991;-6.551714137;21.0430407;4.666666;3.125015895;4.424525869;-19.01674932;77.59612025;1.797755835
-0.829732363;3.202802142;3.980132341;14.35602657;12;0.44444449;6.526253145;-13.94367184;-16.09684651;47.84332315
7.032469633;19.44561057;15.94240792;11.52622122;45.000001;9.329548999;11.19798262;-7.035118333;12.67934999;-89.39006851
3.284952637;17.28065347;19.11947145;12.01489216;-6.666668;5.602030697;8.578172899;-5.351804;-11.39317525;44.52516567
3.826495573;44.53686724;5.767802762;13.86316803;-16.666666;-10.0750079;5.854370425;-7.20184787;10.45604089;74.01517728
5.836614913;27.20202221;8.235471624;2.653668269;31.666667;35.56265439;5.43523943;-17.57254095;28.36784168;-2.473724644
16.00471594;-74.78716838;20.94220983;32.69866702;10;-49.06275039;6.6084681;-13.88882289;2.323899057;-1.990053856
-14.19810232;-68.1800403;-11.38715306;3.852357224;-113.000001;26.45319759;12.31901281;11.51809433;-9.9711908;-43.14295834
4.950800111;13.23458804;9.062663169;-0.852878788;77.666668;17.45731589;1.778077926;8.847772243;15.43693568;-17.6039764
3.641222228;14.64804095;5.07458418;13.43253186;69.333332;1.724796585;4.267258922;26.02612413;6.236837904;26.39553909
1.664535052;33.9575913;-5.9497623;10.32315358;-83.999999;-1.623131824;-1.268002501;11.65104844;-3.389850796;-52.17224598
6.526877485;33.33019044;-11.96109794;2.006357659;9.333333;3.340523021;-0.444362201;5.413656014;-0.851970503;95.40193459
10.69789742;22.85233041;11.0035039;6.616095258;-11.333333;4.71006319;-1.457381552;-16.16677544;3.678837392;7.250953837
14.12830964;39.41471968;2.778725928;2.746455125;-21.000001;-0.598205495;-0.744412227;-19.66422117;-10.56072757;11.33487885
8.503808602;0.679405684;-2.903162078;12.82572203;56.000001;14.50073064;-1.776505529;-12.70408403;14.76391861;3.708021919
4.571149758;10.61727672;4.82455207;7.502564427;6.666666;14.5504942;1.803955836;-6.506623953;8.82185998;12.7138966
-1.145066265;19.85903386;1.227748048;2.716059818;24.666667;0.463660652;1.10038103;7.507360369;18.64518616;-25.84520472
8.087963109;-15.55243791;-20.72573127;5.620129107;-106;8.436809782;-4.02064785;-4.166550434;3.110838751;-12.10013619
11.05524913;17.77928335;5.086189229;1.332325229;22.666667;0.996941719;3.457129682;-9.955026854;-13.39147054;35.2547478
13.75278147;26.9397943;13.91963767;4.329567224;31.333333;12.73907909;-1.424068431;-17.14170289;20.55736915;-6.349339663
4.985632636;20.04481657;2.807282282;10.0403913;-27.66667;9.273516851;6.475112278;-16.74753778;11.00757391;-0.915332207
7.389436343;-0.25037383;6.406300547;9.452889482;34.33334;7.63705846;9.593903803;-4.198289268;5.635621552;13.51479903
2.755288654;2.96657052;-5.702163562;7.56123516;-6;6.58554002;14.10577906;-1.174054296;-30.31753575;-2.220994046
4.449827826;-2.632773561;6.945805039;5.881642938;43.66666;3.621423913;5.185143801;-24.91387489;-4.752531155;-9.921590946
6.632741426;-0.278144786;4.971098415;6.555732646;19.66667;15.19322594;8.598578353;1.106797761;-16.26240226;14.35131507
6.402884254;22.16251075;5.913737594;10.90393546;-12.33333;0.945440661;9.361181663;-1.715053989;10.64545941;46.91737583
2.885647991;-4.101243139;-7.162964386;9.895049557;-36.00001;8.255744768;1.856502151;-6.315825786;-2.702712985;-17.62046645
0.941205297;-8.684012136;8.807365469;2.66599295;-24.33332;1.84580216;2.202188113;9.276820284;-3.814742809;19.96422315
8.585043978;-10.29650795;-0.355713674;4.471591283;16.66666;7.449854262;0.5988076;-0.604686363;-22.23576297;17.15365268
4.014235985;20.81142978;8.645289264;4.022155559;22.66666;16.23539583;-0.020399143;-19.8864427;-0.579290471;-4.880398412
1.86426204;-13.13269653;0.909805888;1.89644772;27.66668;6.456381203;-2.544433696;-2.36387349;12.83532582;1.13154248
11.00671336;10.98251051;4.947476057;6.61661797;-64.33334;5.933359718;4.660392209;-7.099991787;-3.382684007;-7.604791795
1.985451648;13.68392701;2.919720993;2.635763045;40;3.212307767;3.98438494;-6.176536619;11.71631877;15.43720988
4.431558309;-1.00441092;2.781461675;3.776810531;3.33333;2.150356345;6.147219387;-20.7999757;4.374616398;-10.85700716
9.371304118;2.185868052;2.024926443;1.635207279;-0.66666;11.7254476;5.436601698;-10.75702065;-9.632388397;8.263204648
5.399066959;8.550641155;-0.375653778;6.663647682;8.66666;4.409598691;5.309133305;8.908683433;1.390338557;7.366690714
4.521991315;15.46228946;11.38353121;8.315142355;-15.66666;5.870333739;11.39851356;-26.59563929;10.41154668;7.233470173
-6.543500994;7.299254266;6.769449978;-1.389372706;19.33333;-12.23296266;12.60616594;24.03496968;20.55788365;9.562208341
-4.182846341;8.377883914;-6.360287859;6.899101692;-33;7.092858979;20.18101402;4.859526422;-63.03278025;0.349803258
6.418810239;-6.650428335;-2.94901365;6.423297587;-9;0.861283977;7.505808134;28.89399344;-7.896991492;4.519822102
-3.272177981;-13.03171918;13.62061723;-2.882246202;58.33333;11.09550662;-9.895733766;83.48867989;-73.1740968;-27.17756382
