# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;HCE-ParAcc
# prediction_type;rolling
# method; Part-GFS_te(n_components=6)
"HCE-ParAcc";"RGDP";"IP.ME";"Cons.PurVeh";"Currency";"Unum.LFT";"IP.WPP"
-2.130497713;6.618342439;-7.567793298;19.25057667;-0.117904977;-5.351804;29.61878895
-3.735851038;2.917270031;-0.54607517;7.82223174;2.642772385;-7.20184787;30.52586667
1.045861075;3.106348663;18.68251496;-62.61856974;-3.452698421;-17.57254095;6.70325341
-12.15707522;0.272487352;12.32446656;102.2574507;5.209455943;-13.88882289;-40.41385028
18.74953516;-1.764559597;-0.506008923;-29.74554896;-1.844968574;11.51809433;-1.281025915
2.700155863;5.075855603;-6.637038037;-37.25205895;-7.823786096;8.847772243;19.40912809
4.696040608;2.906719607;-2.064520712;-14.26643207;7.574868107;26.02612413;-15.57829275
-4.982745755;4.512751483;4.630276783;7.778634414;-7.116811;11.65104844;1.585416265
-3.194968579;4.175155576;-3.596684477;24.52335301;13.15396794;5.413656014;33.37795923
-3.120952114;3.320078483;3.596684477;20.25749313;-8.021161734;-16.16677544;-20.30286518
2.582320137;6.240952365;20.92631575;7.977105801;-2.91234831;-19.66422117;8.485166656
-10.37983801;1.510204053;-19.39472485;-9.670092213;2.256164544;-12.70408403;5.361212051
19.69238271;3.236882989;20.8483909;-2.618667291;-5.557749207;-6.506623953;-22.51544867
-13.93829202;0.135776366;24.39208106;-4.62432896;4.989462145;7.507360369;24.58111169
6.626545426;3.065300223;12.54302097;19.95878846;-1.867670487;-4.166550434;4.68183838
-5.59706049;6.135649205;-5.327492736;28.53998934;1.283413984;-9.955026854;-23.35993031
4.048090797;6.532693146;1.783726479;1.76185867;1.23235611;-17.14170289;0.924143653
-1.525661538;2.996086065;3.984537652;-3.53151205;-1.387024446;-16.74753778;29.35737249
-4.025801808;2.251214891;2.196600797;-4.398914894;-0.065892355;-4.198289268;-8.086918041
4.532432402;3.452363018;-20.67876153;15.24664194;2.430577702;-1.174054296;4.352600075
-0.510413643;2.855261328;5.498368362;3.323325233;-5.05225648;-24.91387489;-14.09837562
2.480385033;3.478460043;19.97086958;14.45737979;6.884948484;1.106797761;3.867638909
-2.994989486;2.089582331;8.565637802;0.220082537;-6.957066334;-1.715053989;-2.673608171
2.456075647;4.864112139;13.33456811;7.951248877;2.759261256;-6.315825786;-4.797658714
2.393344606;2.96288629;-11.22151512;-3.248528954;-0.846369724;9.276820284;-0.6037737
-5.839519768;0.865102462;-12.8490705;-10.24144038;4.564841686;-0.604686363;-7.933135693
4.801978439;1.027268677;-4.816697502;-1.005165962;-0.941438688;-19.8864427;-6.837773344
-1.948220793;4.191102296;4.381204808;5.221571162;-2.364632468;-2.36387349;7.145821106
-0.491080959;6.262424786;12.86284465;4.281638246;1.377806056;-7.099991787;-2.161332931
2.321217583;6.132959408;-1.691334444;36.3032412;-4.423897921;-6.176536619;-15.46543713
-0.514777199;3.302626747;-3.831854743;0.697471842;6.384199611;-20.7999757;4.480046832
2.684277307;2.944304662;-4.733783059;0.596866562;-2.270584381;-10.75702065;14.99004447
-1.007309429;2.258276194;1.727864458;17.50400809;-1.47615711;8.908683433;-39.59804872
0.355589666;4.970717944;21.80833555;-7.394280898;-0.404243383;-26.59563929;11.34354582
-6.201674614;1.356216846;22.99939682;-11.10500016;-0.056119214;24.03496968;-6.968239264
9.125871106;2.772254116;-16.12011751;-49.9257698;3.565121155;4.859526422;13.49366946
-1.466062573;-3.246171797;-21.42633699;-4.998644999;16.8026119;28.89399344;-41.56928701
3.151660422;3.979643032;-22.19166093;-5.873144234;-13.85201418;83.48867989;-19.49811275
-4.300643622;1.931596097;-8.592755526;-9.865444276;-4.40305293;46.0196691;12.61700145
-2.894527472;1.611806653;23.52313857;10.56089505;-3.60028023;1.868905447;-3.66975051
-3.616297861;2.88338048;47.11321426;20.76044015;-4.683736164;-13.4679714;28.79964037
-1.201803608;1.523026721;-35.64137118;11.91531371;7.275511679;-21.43630024;30.05953667
0.800398657;2.435515384;24.76691506;37.3665879;-2.365758659;-4.755511182;-48.66754293
-0.00040322;1.991786174;-11.17837216;-20.33829534;-0.313261547;-20.21306194;7.476853205
1.205021292;4.390007135;-2.02943104;-19.06119783;-4.27220778;-1.020408748;-15.09613119
-0.402210581;-1.500973447;-6.150813148;22.01624885;5.666590698;-7.281715352;-3.679878759
-1.203410031;5.333531171;-19.04114111;-35.54358103;-0.607818606;6.194671314;-16.22098732
2.40561605;4.657879989;35.63431434;29.40535316;0.237882906;17.93657557;-6.598888134
-2.003408692;3.97991576;-14.94368636;6.848257218;6.993908879;4.98903716;13.0906774
-0.000400801;4.117594698;26.27810371;17.83798164;-10.88520539;-1.696586593;-41.89176069
1.601202136;2.328691535;-6.605298224;27.16399274;9.530383746;-10.58279064;11.60703199
0.39461527;2.215612944;3.898666341;10.01617278;-2.796770596;31.89476441;-12.02786317
-0.799987581;2.222377647;-5.075714763;25.40672105;-2.401109828;0.977503512;7.094604343
-0.398206525;0.952585653;-18.08444597;-26.11390356;2.701999707;11.68689224;25.24623431
-1.58927362;3.113451114;2.05023514;9.097265061;-1.112531772;23.18704713;8.833772364
0.794043159;1.34967792;-5.76735017;6.689692799;3.519056887;-1.133257197;-27.10904603
3.177375604;3.447181698;-2.497406656;0.764737355;-4.231308102;10.95958965;-2.446490807
-0.412296696;3.574058921;-11.86527673;-0.679694301;2.252934514;7.277554484;21.10992559
-0.01392285;2.482873349;-13.56062067;4.733783059;-1.972031435;3.464746744;17.46007726
-1.571697713;1.519985819;6.181138449;-5.159179249;0.368969919;10.5343903;-15.13898757
-1.171684638;2.185723381;1.312193632;-3.763123757;1.678434341;-4.480810789;3.456574558
