# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HCE-Fuel
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=2)
# prediction_type; rolling
HCE-Fuel;IP-WPP;HStartsNT
29.57519634;17.02384577;17.75035263
-33.96518689;24.902910100000003;-37.79032137
-19.91302846;0.9775972279999999;-36.07428713
24.46834242;5.173879733;-73.89364128
-54.27342923;-11.73678331;28.88332325
65.79316671;-14.14288733;37.71528301
2.207262254;5.1086262719999995;-81.36042903
-15.07337353;-0.338552707;-17.41632342
-14.10879714;7.715123869;-11.68741819
-0.07425200400000001;2.3188470740000002;-15.38651244
18.53168873;6.8769602160000005;6.666820994
-13.04463424;14.66299634;-21.50447064
-15.26070639;8.975231475;98.45322779
7.406316578999999;15.01677848;50.33254736
-3.6406541;25.40989715;-40.45550251
7.981112085;-49.71501867;65.31787278
48.00418587;26.36319295;-40.39036694
-46.60107688;-34.59133117;-109.5555
18.69350831;-25.41060403;39.61568314
7.069523819;-10.00483376;22.20111383
-12.33069883;-9.903246767999999;42.70719017
-0.31164110899999997;19.56721983;7.523732783
65.37287657;-34.89756324;33.35264358
-143.81657280000002;6.642219046;-1.5267194869999998
53.01785223;17.19154467;0.764088255
26.16823235;-12.46206711;31.54704769
-11.75225776;4.316588653;9.756581319
-2.6815742890000003;0.0;24.69508017
9.792872697;-17.92709708;64.42462295
-0.124221192;9.977422593;82.81462647
-6.987077216;38.91956439;40.43844666
-8.7530845;-1.99170536;-5.708557561
12.27733637;-10.11005798;34.22233399
-9.712220582;6.432639687000001;-33.40182096
13.25216997;-0.3359933;31.89095979
-19.509649600000003;1.342283139;17.40209642
28.37675752;0.334868165;21.51245563
-18.54285273;16.71689399;-33.65131819
-4.437096986999999;-9.419842544;-86.3733517
19.30342832;-2.307381759;47.16471088
-9.676905608;9.150725862;41.4432835
10.89707622;6.410393606;29.00599239
-17.63732686;10.9767766;11.91070562
7.495721088;-4.354630877;-44.27336106
3.251158198;-1.880881209;-84.32540508
-16.50237427;-25.96207058;30.69877252
22.27724007;16.42266777;40.68544682
-1.158644801;1.285141668;-9.790013964
-22.40146364;0.6410257779999999;40.31644907
5.480511762999999;-9.724952258;-30.139774900000003
12.25097737;-1.314709483;9.546992525
-18.03052263;-20.60396348;5.248435223
8.991920109;31.32324074;3.707162735
-9.407929515;-6.462176089;14.85005309
8.445037111;-18.32890402;42.78369478
-0.030378834;18.65450437;44.12014849
15.62325624;-27.96928492;28.96818678
19.82933185;8.632186529;39.50076017
-24.92690088;29.61878895;-48.92563243
30.60684691;30.52586667;9.158649314
-36.22544084;6.70325341;-100.94448
37.35554541;-40.41385028;-26.93665854
-28.6980984;-1.281025915;-38.85801712
-16.95474544;19.40912809;-16.49718337
6.258910385;-15.57829275;53.51780632
-34.40235543;1.585416265;19.76153971
25.95140688;33.37795923;-6.36055805
17.47527594;-20.30286518;-4.29726604
6.55039843;8.485166656;-25.26373378
-20.31152275;5.361212051;-67.9738191
19.31252855;-22.51544867;0.0
27.54782447;24.58111169;60.61995926
-97.6018572;4.68183838;105.1860182
66.13629977;-23.35993031;-59.46410965
-3.47879648;0.924143653;31.15848333
14.94336876;29.35737249;28.90577651
-15.9896911;-8.086918041;11.81769849
4.687347971;4.352600075;70.05564186
13.92278059;-14.09837562;12.27163911
-28.0294529;3.8676389089999996;-14.72262722
12.82047479;-2.673608171;32.56514486
29.87216872;-4.797658714;57.13456336
-23.10470977;-0.6037737;14.090721100000001
-5.241947331;-7.933135693;-10.37522142
11.86402587;-6.8377733439999995;-11.05151699
-32.14607834;7.1458211060000005;-29.90494379
-19.78826711;-2.161332931;-69.02322181
37.38224526;-15.46543713;-20.50383135
4.990361926;4.480046832;4.025528776
-30.76331463;14.99004447;16.99046656
70.71763444;-39.59804872;-19.40091912
-33.16767247;11.34354582;-69.66460886
-7.146002597000001;-6.968239264;-0.960384615
-4.202545475;13.49366946;-50.85663785
-65.61520871;-41.56928701;75.10648657
18.74542372;-19.49811275;28.52116852
35.26032851;12.61700145;17.31634179
21.78049413;-3.66975051;-37.47899725
-10.39900679;28.79964037;-60.48033004
1.203706774;30.05953667;-22.25739663
-14.604090900000001;-48.66754293;-61.11568369
-4.748535239;7.476853205;-0.8474579870000001
33.4903275;-15.09613119;-42.47425865
2.479015646;-3.6798787589999997;21.5772329
-21.21211963;-16.22098732;-4.042707068
-4.136964026;-6.598888134;11.56921583
14.8981299;13.0906774;33.22981766
-14.12500183;-41.89176069;32.17229634
-7.940262717;11.60703199;-26.95918989
-0.932407447;-12.02786317;25.84030804
17.7749166;7.094604342999999;17.53705515
-5.333731933999999;25.24623431;-9.037890095
-17.14732594;8.833772364;-15.27898838
41.74781316;-27.10904603;2.650269951
-33.90714726;-2.446490807;-20.12029535
20.63857727;21.10992559;26.8557211
-27.23758727;17.46007726;8.081083
0.842305469;-15.13898757;25.70175591
-17.72867076;3.4565745580000002;-19.56721987
