# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; HCE-OthMot
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_te_(n_components=4)
# prediction_type; rolling
HCE-OthMot;Unum-LPT;ExrateGBP;ResInv;HStartsNT
-1.430497544;16.69539192;-89.60769201;-1.5805091359999999;17.75035263
1.3576470880000002;-4.699432064;-9.279707455;36.91051157;-37.79032137
-0.042514747;25.711119699999998;-25.25321553;-17.2122436;-36.07428713
6.636299948;12.70355362;11.9544038;11.27184044;-73.89364128
-10.73890001;11.08587198;-18.32509235;-12.53009879;28.88332325
13.03046817;12.21930807;-46.46443698;-7.376997638;37.71528301
-9.202687767;-15.30241246;35.05825034;-6.7315504520000005;-81.36042903
2.471562381;3.574203537;-17.12983398;2.2131870940000002;-17.41632342
9.629254887;-16.27767658;2.353217926;9.620473347999999;-11.68741819
2.843175214;21.51925687;1.034692908;11.86289534;-15.38651244
-15.34807153;7.20091454;-48.26600249;23.99645276;6.666820994
-14.95187677;5.316870484;11.29216368;32.15967286;-21.50447064
13.86054354;37.61157986;32.4809549;20.83261714;98.45322779
-8.188988121;-78.73986294;31.633880100000002;54.65396793;50.33254736
11.71323999;34.62022661;2.2090115619999997;31.730945399999996;-40.45550251
2.20120644;9.781014419;9.019894492;22.42240379;65.31787278
-2.400023483;-10.37794048;-4.33096957;26.98323614;-40.39036694
-12.4568335;2.38237762;-4.1526753439999995;5.313307347;-109.5555
14.72008147;-14.388735999999998;19.29842712;-19.13821281;39.61568314
-1.254229924;14.98211964;-33.80161284;0.672834473;22.20111383
-4.469013267;4.363894322;0.526085126;-8.531039599;42.70719017
7.5455698060000005;29.39174808;-22.31223484;-10.67142354;7.523732783
-7.610039143;18.42465992;-29.37245741;-4.9680283769999996;33.35264358
7.328337969;36.19859712;16.95182645;1.188472698;-1.5267194869999998
-4.300314425;8.373821134;36.888420399999994;-10.98815961;0.764088255
6.960777864;-20.34093795;2.346217667;-4.086672245;31.54704769
-0.356585716;0.09795508800000001;-25.18053378;16.57517909;9.756581319
-9.837839508;6.026845582000001;-2.622959909;14.92970358;24.69508017
2.851314794;-6.026845582000001;-16.65788082;5.654603637999999;64.42462295
-2.883291223;28.445090399999998;-31.55203672;18.50590553;82.81462647
-1.895738146;24.07273509;66.60396223;21.97285074;40.43844666
30.04825219;-40.36352653;15.286637400000002;9.692177741;-5.708557561
-26.554780199999996;19.8326468;-21.24444727;8.235585031;34.22233399
-2.624850582;-2.357748925;1.378174983;18.14900717;-33.40182096
0.86298303;19.35145492;2.979751266;3.385937878;31.89095979
2.564892297;0.865613755;24.07867671;12.19533033;17.40209642
-1.7405774930000002;-6.97793544;-0.083866234;28.56718198;21.51245563
-0.016228168;24.48786706;1.5069084380000002;1.712591526;-33.65131819
-0.016023394;-19.24303667;2.996892271;0.11023839099999999;-86.3733517
-0.850025068;1.646628;-14.46822482;-15.62215681;47.16471088
2.4800811130000002;-37.89062672;-15.75593727;-15.72037824;41.4432835
-1.682037176;18.21452905;24.095482;2.969134773;29.00599239
2.426333838;-11.70725363;6.2668830479999995;-23.89133469;11.91070562
-1.6656795619999998;26.42299186;15.10431894;-13.28134774;-44.27336106
1.56771678;29.12371233;12.59967364;-1.365743949;-84.32540508
0.728164646;2.839480375;-10.47638526;1.690234922;30.69877252
-3.9626625189999998;11.78898566;-19.63917347;9.487624269;40.68544682
3.8661435219999998;-13.97766271;-1.8950780230000002;22.65918152;-9.790013964
-1.596582788;-7.466117606;-11.44797297;16.41977818;40.31644907
0.719008428;-16.31154482;-10.36674402;16.0483203;-30.139774900000003
-2.296361842;-21.07614539;-41.68884425;31.86845285;9.546992525
0.7329010890000001;-23.69329125;-2.068036285;6.5716124879999995;5.248435223
0.716494635;-7.892108406;-25.44259051;6.317360682;3.707162735
10.07479886;10.77604303;-28.63814663;7.722625012999999;14.85005309
-11.64862324;16.14484738;22.88010946;8.714733016;42.78369478
-0.011317498;-7.147190773999999;12.91846404;6.483580991;44.12014849
-0.011198052;-5.279360256;24.13026912;3.202802142;28.96818678
1.382649147;39.63098928;-10.41580096;19.44561057;39.50076017
2.033386234;-38.21002864;-2.06925718;17.28065347;-48.92563243
-1.4312593009999999;40.52390762;-12.61097812;44.53686724;9.158649314
-0.041510162999999996;-34.79678253;-1.9038585540000001;27.20202221;-100.94448
2.612732236;-17.04411095;0.034696274;-74.78716838;-26.93665854
-4.030897122;0.6803548229999999;-20.75660265;-68.18004029999999;-38.85801712
-0.017256581;37.60286459;-5.03798928;13.23458804;-16.49718337
-0.017032103;52.52760103;-2.971506285;14.64804095;53.51780632
-0.661453534;-22.97281963;-7.3368938439999996;33.9575913;19.76153971
-0.009365354000000001;10.53332074;4.305584017;33.33019044;-6.36055805
2.53850394;-20.84574212;11.4060685;22.85233041;-4.29726604
1.830022548;-6.026639286;11.48025324;39.41471968;-25.26373378
-1.948095528;20.01668387;-27.34382334;0.679405684;-67.9738191
-1.271940289;-4.252749035;6.1818045260000005;10.61727672;0.0
-0.023524347;-29.15649005;19.20602505;19.85903386;60.61995926
-0.023167642000000002;4.485042041;23.23356488;-15.55243791;105.1860182
10.04432969;-7.146986202999999;9.572538252000001;17.77928335;-59.46410965
-9.004182216;5.13054349;12.54446908;26.939794300000003;31.15848333
-0.614527661;2.540803724;-2.61856244;20.04481657;28.90577651
-0.029642377;-12.14766976;-23.45368523;-0.25037383;11.81769849
-1.7252541469999998;20.53082192;-1.9753133369999998;2.96657052;70.05564186
