# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; IP-WPP
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; Hits_granger__graph(n_components=8)
# prediction_type; rolling
IP-WPP;HSexfinVal;HSexfinNum;Imports;HStartsTotal;HStartsNSW;HStartsVIC;TotComp;90daysBkbills
17.02384577;11.09550276;2.088518489;-1.793193953;2.088518489;-6.874321211;8.297846612999999;10.78809055;1.54
24.902910100000003;8.73966356;1.0327815340000002;9.516280621;1.0327815340000002;10.25151292;23.59597624;8.213946896;0.36666667
0.9775972279999999;-76.30424091;-59.30819233;-5.366970802;-59.30819233;-56.59413376;-49.13599022;12.78641946;1.97666666
5.173879733;-69.09729128;-57.46759811;-2.693839628;-57.46759811;-61.81240864;7.603146754;14.20785002;-0.13333333
-11.73678331;66.66988287;31.55830611;0.9449089009999999;31.55830611;43.18843738;-42.35701267;4.165777115;-2.84333333
-14.14288733;21.81537257;14.47703963;-24.89290348;14.47703963;-2.623345366;20.21919848;10.74030744;1.71
5.1086262719999995;21.65613463;12.14710511;10.33960374;12.14710511;23.14261445;15.42578449;4.9461614019999995;-0.68333334
-0.338552707;7.888529461;-5.320413015;-10.37547657;-5.320413015;-13.24880259;-12.20088939;6.296327223;0.24
7.715123869;22.60551444;19.70296345;19.46481319;19.70296345;23.69603122;-4.518301285;10.44549449;-2.02333333
2.3188470740000002;56.51745417;36.19526803;9.321597117;36.19526803;87.77741831;1.4668291269999998;13.10890499;-1.89
6.8769602160000005;67.17147485;44.44414087;19.79892976;44.44414087;12.82860941;40.09300888;7.287545292999999;-0.44333333
14.66299634;18.51344162;4.703090999;8.580850016;4.703090999;28.16690729;0.974761109;7.867896956;-0.98333334
8.975231475;102.0718468;75.10166417;7.791154354;75.10166417;63.12164985;69.00353991;11.70629958;1.27333334
15.01677848;-17.69335676;-32.66100428;27.34495973;-32.66100428;-68.47122547;-30.67089925;5.22665751;1.09
