# max_attributes; 15
# description; Austrailan macroeconomic dataset
# number_predictions; 75
# predict; Emp-FtPer
# lag_parameter; 4
# horizon; 1
# name_prefix; aus_macrodata
# method; dm_PCA(copy=True, iterated_power='auto', n_components=1, random_state=None, svd_solver='auto', tol=0.0, whiten=False)
# prediction_type; rolling
Emp-FtPer;0
1.550869099;-27.2453544703
4.93821429;-11.049414684
3.635339506;-224.702134401
4.985436679;-225.29930821
1.703023501;127.241813938
0.037658182;24.8429716441
0.764164434;41.2993342469
0.558678956;-18.9166672678
2.182621104;34.6813887723
2.500131738;113.967958652
1.076629413;152.260795618
6.556602781;-16.7571025755
2.39256182;250.581015689
3.137324023;-65.0165794265
4.302052413;-51.6735621836
3.2272679;-94.9509967259
4.753441249;-233.033904262
1.751832371;-208.819976912
2.476774707;62.7626635095
0.692562697;168.03234219
0.972293873;-105.972996311
-0.446146181;21.6820826024
-4.697453772;17.6877385014
-6.373869497;41.8168069934
-5.232258285;120.776363092
-2.270905599;107.480438379
-2.005863974;-17.9832910814
-1.160775456;91.2440688965
-3.084567502;117.579921446
-0.456970587;55.506343343
-1.93878106;-30.7173636911
2.71760242;56.2122350376
1.141507119;73.6763913794
-0.04778225;5.95661340769
3.818179928;74.0508747355
1.302863116;112.454863481
3.041448312;5.3300948923
4.361595213;-172.865465905
1.259469091;-114.54434328
3.325516712;-176.463172297
4.978993751;-29.5776515269
2.190291982;102.730396985
1.003093796;8.44242206638
0.934525028;1.50510035201
0.181104881;-98.4170267861
-0.272753941;113.556026677
-0.130049735;-33.401269478
-0.725643119;14.7331194023
-0.748363196;-15.9810994724
0.643676558;-12.4466708259
2.035400071;-19.5716880989
1.451475879;0.207271716222
0.552467272;18.6481795597
2.126531208;-84.1906867721
0.08415337;17.1048110771
2.022760295;96.8881085527
1.013820391;71.43935378
2.932884702;31.3991367274
2.615157967;62.846566929
0.530856083;-46.9020528539
4.239986317;-180.699831087
3.867209733;1.41722091594
-2.496249863;18.0181686909
-1.232635305;15.4035499245
-0.506745222;133.147301796
-2.445041584;44.7410996852
1.223367646;2.45505258102
1.237964854;11.6375599379
0.925457886;-8.88893425198
2.09520045;-69.4192925754
1.853007999;0.800982583676
3.375378431;65.9485081745
-1.394774033;69.3665931277
2.418770748;45.6287739164
3.73698459;-35.9873746366
1.881967735;-158.061166177
1.582089988;-37.9936931795
1.712087653;12.7725783546
4.105935742;11.327366789
4.054684325;91.8174432714
4.038531886;-5.15517862236
1.241847863;31.6249760017
0.334770528;26.0241603236
2.348664325;3.25460435194
2.962486844;28.1332971452
4.662538977;28.0707190801
1.778349908;-62.5447383904
4.41881106;-4.75331365735
3.811169816;61.3697255553
1.97836958;-23.2552558576
4.114366466;-16.6464519801
2.400490128;-82.271199561
1.828868071;-203.957520351
4.524717511;-107.335020637
-2.37815086;35.702093618
-1.149196631;218.646014883
-2.133533616;89.5716052026
-2.709413699;-56.8446513923
1.373660315;-120.654194155
1.49127202;-206.177553434
3.31957888;-106.067623135
3.611754901;-8.88561814391
3.73086173;24.6886776871
2.867966877;-49.8517090435
-1.034977557;28.9632206999
0.761273417;-0.000162054117022
1.112234674;31.2524941429
2.168300298;4.37195364057
0.284870476;-24.2651362425
1.286091373;23.229146088
1.985388499;6.1889207102
-0.576945126;26.7602785509
-0.452827741;63.6224457082
-0.286611728;29.1893120398
-1.83450539;7.58230855025
0.722776864;-5.1968820639
2.414821192;-5.61640729959
0.453338751;2.80419193824
0.936599686;4.87072748945
