# name_prefix; aus_macrodata
# description; Austrailan macroeconomic dataset
# lag_parameter;4
# number_predictions;75
# horizon;1
# max_attributes;15
# predict;ExrateNZD
# prediction_type;rolling
# method; Part-GFS_granger_graph(n_components=3)
"ExrateNZD";"Cons.Food";"Gov.NatLoc";"HCE.OthMot"
9.253063427;0.914007557;3.067873633;-10.63759836
-4.286078689;0.162271807;4.738188065;-0.427166269
-16.74247503;4.637382452;5.502259322;1.625387718
14.03252696;5.435488432;0.96549393;-0.033737366
-8.616208691;7.483811207;7.757015649;-0.033126108
-0.770773147;0.988636041;2.242411888;10.16409925
0.416818565;-1.707414312;-2.271366273;-10.31777585
-5.083459722;6.174153065;-3.334079539;1.868595504
-6.937266474;6.965609818;3.604238992;0.303345691
-14.90298767;2.681616194;2.614953914;-1.924343596
-21.18276521;5.051603958;-0.920974145;-1.871625735
-5.463822648;-1.534729723;3.185590874;4.004322546
-18.26000198;2.401189331;-0.266882724;-2.236801649
5.778641078;0.184111206;3.389488719;-1.103300639
9.50532566;-0.8476141;3.314129821;15.31723439
-9.837158596;2.66575731;3.872337414;-15.441296
